الكلمة الأصلية	الجذر	المصدر	النوع
أباهم	ءبو	أب	اسم
أبانا	ءبو	أب	اسم
أباكم	ءبو	أب	اسم
أبا	ءبو	أب	اسم
أبواه	ءبو	أب	اسم
أبوهم	ءبو	أب	اسم
بأبيكم	ءبو	أب	اسم
بأبائنا	ءبو	أب	اسم
آتهم	ءتي	آتى	فعل
آتنا	ءتي	آتى	فعل
آتت	ءتي	آتى	فعل
آتوه	ءتي	آتى	فعل
آتوني	ءتي	آتى	فعل
وآتوا	ءتي	آتى	فعل
آتي	ءتي	آتى	فعل
آتيه	ءتي	آتى	فعل
آتيهم	ءتي	آتى	فعل
آتيهما	ءتي	آتى	فعل
آتيها	ءتي	آتى	فعل
آتين	ءتي	آتى	فعل
آتيني	ءتي	آتى	فعل
آتيكم	ءتي	آتى	فعل
آتيك	ءتي	آتى	فعل
آتيت	ءتي	آتى	فعل
آتيتهن	ءتي	آتى	فعل
آتيتنا	ءتي	آتى	فعل
آتيتني	ءتي	آتى	فعل
آتيتك	ءتي	آتى	فعل
آتيتكم	ءتي	آتى	فعل
آتيتم	ءتي	آتى	فعل
آتيتموهن	ءتي	آتى	فعل
آتينا	ءتي	آتى	فعل
آتينه	ءتي	آتى	فعل
آتينهم	ءتي	آتى	فعل
آتينها	ءتي	آتى	فعل
آتينك	ءتي	آتى	فعل
آتينكم	ءتي	آتى	فعل
ائتوني	ءتي	آتى	فعل
وأتوني	ءتي	أتى	فعل
فآتيهم	ءتي	آتى	فعل
وآتى	ءتي	آتى	فعل
وآتيه	ءتي	آتى	فعل
وآتيهم	ءتي	آتى	فعل
وآتيني	ءتي	آتى	فعل
وآتيكم	ءتي	آتى	فعل
سآتيكم	ءتي	آتي	فعل
لآتية	ءتي	آتية	فعل
وآتيتم	ءتي	آتى	فعل
وآتين	ءتي	آتى	فعل
لآتينهم	ءتي	آتى	فعل
لآتينا	ءتي	آتى	فعل
فآتينا	ءتي	آتى	فعل
وآتينا	ءتي	آتى	فعل
وآتينه	ءتي	آتى	فعل
وآتينهم	ءتي	آتى	فعل
وآتينهما	ءتي	آتى	فعل
أتتهم	ءتي	أتى	فعل
أتتك	ءتي	أتى	فعل
أتتكم	ءتي	أتى	فعل
أتوا	ءتي	أتى	فعل
فأتوا	ءتي	أتى	فعل
أتاهم	ءتي	أتى	فعل
أتاك	ءتي	أتى	فعل
أتاهم	ءتي	أتى	فعل
أتاها	ءتي	أتى	فعل
فأتى	ءتي	أتى	فعل
أتيت	ءتي	أتى	فعل
أتيناهم	ءتي	أتى	فعل
وأتيناك	ءتي	أتى	فعل
أوتوا	ءتي	آتى	فعل
لأوتين	ءتي	آتى	فعل
أوتي	ءتي	آتى	فعل
أوتيت	ءتي	آتى	فعل
أوتيته	ءتي	آتى	فعل
وأوتيت	ءتي	آتى	فعل
أوتيتم	ءتي	آتى	فعل
وأوتينا	ءتي	آتى	فعل
ائتيا	ءتي	آتى	فعل
فأتيا	ءتي	آتى	فعل
فأتياه	ءتي	آتى	فعل
تؤتي	ءتي	آتى	فعل
لتأتنني	ءتي	أتي	فعل
تأتوني	ءتي	أتي	فعل
أتأتون	ءتي	أتي	فعل
لتأتينكم	ءتي	أتي	فعل
تأتي	ءتي	أتي	فعل
تأتيهم	ءتي	أتي	فعل
تأتينا	ءتي	أتي	فعل
تأتيكم	ءتي	أتي	فعل
فتأتيهم	ءتي	أتي	فعل
مأتيا	ءتي	مأتي	اسم
نؤتى	ءتي	نؤتى	فعل
سنؤتيهم	ءتي	نؤتي	فعل
نؤتيه	ءتي	نؤتي	فعل
فلنأتينهم	ءتي	أتي	فعل
فلنأتينك	ءتي	أتي	فعل
نأتي	ءتي	نأتي	فعل
نأتيكم	ءتي	أتي	فعل
يؤتي	ءتي	آتى	فعل
يؤتيه	ءتي	آتى	فعل
يؤتيهم	ءتي	آتى	فعل
سيؤتينا	ءتي	آتى	فعل
فسيؤتيه	ءتي	آتى	فعل
يأتوني	ءتي	أتى	فعل
ليأتيني	ءتي	أتى	فعل
يأتي	ءتي	أتى	فعل
يأتيه	ءتي	أتى	فعل
يأتيهم	ءتي	أتى	فعل
يأتيها	ءتي	أتى	فعل
يأتينا	ءتي	أتى	فعل
يأتيني	ءتي	أتى	فعل
يأتينكم	ءتي	أتى	فعل
يأتيك	ءتي	أتى	فعل
يأتيكم	ءتي	أتى	فعل
يأتيكما	ءتي	أتى	فعل
فيأتيهم	ءتي	أتى	فعل
فسيأتيهم	ءتي	أتى	فعل
وليأتينهم	ءتي	أتى	فعل
ويأتيه	ءتي	أتى	فعل
ويأتينا	ءتي	أتى	فعل
يأتينها	ءتي	أتى	فعل
يأتين	ءتي	أتى	فعل
يأتينك	ءتي	أتى	فعل
لآت	ءتي	أتي	اسم
لآتوها	ءتي	آتي	اسم
أتوك	ءتي	أتى	فعل
أفتأتون	ءتي	أتى	فعل
أوتوه	ءتي	آتى	فعل
ائت	ءتي	أتى	فعل
ائتنا	ءتي	أتى	فعل
تأتهم	ءتي	أتى	فعل
تأتوا	ءتي	أتى	فعل
تأتوننا	ءتي	أتى	فعل
أثاثا	ءثث	أثاث	اسم
آثارهم	ءثر	أثر	اسم
آثارهما	ءثر	أثر	اسم
آثر	ءثر	آثر	اسم
آثرك	ءثر	آثر	فعل
أثر	ءثر	أثر	اسم
أثرة	ءثر	أثرة	اسم
آثم	ءثم	آثم	اسم
آثما	ءثم	آثم	اسم
الآثمين	ءثم	آثم	اسم
أثاما	ءثم	إثم	اسم
أثيم	ءثم	أثيم	اسم
أثيما	ءثم	أثيم	اسم
الأثيم	ءثم	أثيم	اسم
لإثم	ءثم	إثم	اسم
الإثم	ءثم	إثم	اسم
بالإثم	ءثم	إثم	اسم
بإثمي	ءثم	إثم	اسم
إثم	ءثم	إثم	اسم
إثما	ءثم	إثم	اسم
إثمه	ءثم	إثم	اسم
والإثم	ءثم	إثم	اسم
وإثما	ءثم	إثم	اسم
وإثمهما	ءثم	إثم	اسم
وإثمك	ءثم	إثم	اسم
تأثيم	ءثم	تأثيم	اسم
تأثيما	ءثم	تأثيم	اسم
أجاج	ءجج	أجاج	اسم
استأجره	ءجر	استأجر	فعل
استأجرت	ءجر	استأجر	فعل
لأجرا	ءجر	أجر	اسم
أجرا	ءجر	أجر	اسم
أجره	ءجر	أجر	اسم
أجرهم	ءجر	أجر	اسم
أجرها	ءجر	أجر	اسم
أجورهم	ءجر	أجر	اسم
أجورهن	ءجر	أجر	اسم
أجوركم	ءجر	أجر	اسم
ولأجر	ءجر	أجر	اسم
وأجرا	ءجر	أجر	اسم
تأجرني	ءجر	أجر	فعل
أجلهم	ءجل	أجل	اسم
أجلها	ءجل	أجل	اسم
أجلهن	ءجل	أجل	اسم
أجلنا	ءجل	أجل	اسم
مؤجلا	ءجل	مؤجل	اسم
الأجلين	ءجل	أجل	اسم
لأحدهما	ءحد	أحد	اسم
أحد	ءحد	أحد	اسم
أحدا	ءحد	أحد	اسم
أحدهم	ءحد	أحد	اسم
أحدهما	ءحد	أحد	اسم
أحدكم	ءحد	أحد	اسم
أحدكما	ءحد	أحد	اسم
لإحدى	ءحد	أحد	اسم
إحدى	ءحد	أحد	اسم
إحداهما	ءحد	أحد	اسم
إحداهن	ءحد	أحد	اسم
إحداهما	ءحد	أحد	اسم
كأحد	ءحد	أحد	اسم
آخذ	ءخذ	آخذ	اسم
آخذين	ءخذ	آخذ	اسم
باتخاذكم	ءخذ	اتخاذ	اسم
اتخذ	ءخذ	اتخذ	فعل
اتخذها	ءخذ	اتخذ	فعل
فاتخذ	ءخذ	اتخذ	فعل
فاتخذه	ءخذ	اتخذ	فعل
واتخذ	ءخذ	اتخذ	فعل
اتخذت	ءخذ	اتخذ	فعل
فاتخذت	ءخذ	اتخذ	فعل
أتخذتم	ءخذ	اتخذ	فعل
أفاتخذتم	ءخذ	اتخذ	فعل
اتخذتم	ءخذ	اتخذ	فعل
فاتخذتموهم	ءخذ	اتخذ	فعل
واتخذتموه	ءخذ	اتخذ	فعل
لاتخذنه	ءخذ	اتخذ	فعل
أتخذنهم	ءخذ	اتخذ	فعل
لاتخذوك	ءخذ	اتخذ	فعل
اتخذوا	ءخذ	اتخذ	فعل
اتخذوه	ءخذ	اتخذ	فعل
اتخذوهم	ءخذ	اتخذ	فعل
اتخذوها	ءخذ	اتخذ	فعل
اتخذوني	ءخذ	اتخذ	فعل
فاتخذوه	ءخذ	اتخذ	فعل
واتخذوا	ءخذ	اتخذ	فعل
اتخذي	ءخذ	اتخذ	فعل
بآخذيه	ءخذ	آخذ	اسم
آتخذ	ءخذ	اتخذ	فعل
لأتخذن	ءخذ	اتخذ	فعل
أتخذ	ءخذ	اتخذ	فعل
أخذ	ءخذ	أخذ	فعل
أخذا	ءخذ	أخذ	فعل
أخذه	ءخذ	أخذ	فعل
فأخذهم	ءخذ	أخذ	فعل
وأخذ	ءخذ	أخذ	فعل
وأخذهم	ءخذ	أخذ	فعل
أخذت	ءخذ	أخذ	فعل
أخذته	ءخذ	أخذ	فعل
أخذتهم	ءخذ	أخذ	فعل
أخذتها	ءخذ	أخذ	فعل
فأخذتهم	ءخذ	أخذ	فعل
فأخذتكم	ءخذ	أخذ	فعل
وأخذت	ءخذ	أخذ	فعل
أخذتم	ءخذ	أخذ	فعل
وأخذتم	ءخذ	أخذ	فعل
وأخذن	ءخذ	أخذ	فعل
لأخذنا	ءخذ	أخذ	فعل
أخذنا	ءخذ	أخذ	فعل
أخذناهم	ءخذ	أخذ	فعل
فأخذه	ءخذ	أخذ	فعل
فأخذناه	ءخذ	أخذ	فعل
فأخذناهم	ءخذ	أخذ	فعل
وأخذنا	ءخذ	أخذ	فعل
وأخذناهم	ءخذ	أخذ	فعل
تؤاخذنا	ءخذ	آخذ	فعل
تؤاخذني	ءخذ	آخذ	فعل
تأخذ	ءخذ	أخذ	فعل
تأخذه	ءخذ	أخذ	فعل
تأخذهم	ءخذ	أخذ	فعل
تأخذكم	ءخذ	أخذ	فعل
لتأخذوها	ءخذ	أخذ	فعل
تأخذوا	ءخذ	أخذ	فعل
أتأخذونه	ءخذ	أخذ	فعل
تأخذونه	ءخذ	أخذ	فعل
تأخذونها	ءخذ	أخذ	فعل
أتتخذ	ءخذ	اتخذ	فعل
أتتخذنا	ءخذ	اتخذ	فعل
تتخذ	ءخذ	اتخذ	فعل
تتخذوا	ءخذ	اتخذ	فعل
أفتتخذونه	ءخذ	اتخذ	فعل
تتخذون	ءخذ	اتخذ	فعل
وتتخذون	ءخذ	اتخذ	فعل
خذ	ءخذ	أخذ	فعل
خذها	ءخذ	أخذ	فعل
فخذ	ءخذ	أخذ	فعل
فخذها	ءخذ	أخذ	فعل
وخذ	ءخذ	أخذ	فعل
خذوا	ءخذ	أخذ	فعل
خذوه	ءخذ	أخذ	فعل
فخذوه	ءخذ	أخذ	فعل
فخذوهم	ءخذ	أخذ	فعل
وخذوا	ءخذ	أخذ	فعل
وخذوهم	ءخذ	أخذ	فعل
متخذي	ءخذ	متخذ	فعل
متخذت	ءخذ	متخذة	فعل
لنتخذن	ءخذ	اتخذ	فعل
نتخذ	ءخذ	اتخذ	فعل
نتخذه	ءخذ	اتخذ	فعل
يؤاخذ	ءخذ	آخذ	فعل
يؤاخذهم	ءخذ	آخذ	فعل
يؤاخذكم	ءخذ	آخذ	فعل
يؤخذ	ءخذ	أخذ	فعل
فيؤخذ	ءخذ	أخذ	فعل
ليأخذ	ءخذ	أخذ	فعل
يأخذ	ءخذ	أخذ	فعل
يأخذه	ءخذ	أخذ	فعل
يأخذهم	ءخذ	أخذ	فعل
فيأخذكم	ءخذ	أخذ	فعل
ويأخذ	ءخذ	أخذ	فعل
ليأخذوه	ءخذ	أخذ	فعل
يأخذوا	ءخذ	أخذ	فعل
يأخذوه	ءخذ	أخذ	فعل
وليأخذوا	ءخذ	أخذ	فعل
يأخذون	ءخذ	أخذ	فعل
يأخذونها	ءخذ	أخذ	فعل
ليتخذ	ءخذ	اتخذ	فعل
يتخذ	ءخذ	اتخذ	فعل
ويتخذ	ءخذ	اتخذ	فعل
ويتخذها	ءخذ	اتخذ	فعل
يتخذوا	ءخذ	اتخذ	فعل
يتخذوه	ءخذ	اتخذ	فعل
يتخذون	ءخذ	اتخذ	فعل
يتخذونك	ءخذ	اتخذ	فعل
آخر	ءخر	آخر	اسم
آخران	ءخر	آخر	اسم
آخرين	ءخر	آخر	اسم
آخره	ءخر	آخر	اسم
آخرون	ءخر	آخر	اسم
أخر	ءخر	آخر	اسم
بآخرين	ءخر	آخر	اسم
فآخران	ءخر	آخر	اسم
وآخر	ءخر	آخر	اسم
وآخرين	ءخر	آخر	اسم
وآخرنا	ءخر	آخر	اسم
وآخرون	ءخر	آخر	اسم
للآخرة	ءخر	آخرة	اسم
الآخرة	ءخر	آخرة	اسم
الآخرة	ءخر	آخرة	اسم
بالآخرة	ءخر	آخرة	اسم
وللآخرة	ءخر	آخرة	اسم
والآخرة	ءخر	آخرة	اسم
والآخرة	ءخر	آخرة	اسم
وبالآخرة	ءخر	آخرة	اسم
للآخرين	ءخر	آخر	اسم
الآخر	ءخر	آخر	اسم
الآخرين	ءخر	آخر	اسم
والآخر	ءخر	آخر	اسم
والآخرين	ءخر	آخر	اسم
أخرتن	ءخر	أخّر	فعل
أخرتنا	ءخر	أخّر	فعل
أخرتني	ءخر	أخّر	فعل
وأخرت	ءخر	أخّر	فعل
أخرنا	ءخر	أخر	فعل
لأخراهم	ءخر	أخرى	اسم
أخراهم	ءخر	أخرى	اسم
أخركم	ءخر	أخرى	اسم
الأخرى	ءخر	أخرى	اسم
وأخر	ءخر	أخرى	اسم
وأخرى	ءخر	أخرى	اسم
تأخر	ءخر	تأخر	فعل
تستأخرون	ءخر	استأخر	فعل
المستأخرين	ءخر	مستأخر	اسم
نؤخره	ءخر	نؤخر	فعل
يؤخر	ءخر	أخر	فعل
يؤخرهم	ءخر	أخر	فعل
ويؤخركم	ءخر	أخر	فعل
يتأخر	ءخر	تأخر	فعل
يستأخرون	ءخر	استأخر	فعل
يستئخرون	ءخر	استأخر	فعل
لأخيه	ءخو	أخ	اسم
أخاه	ءخو	أخ	اسم
أخاهم	ءخو	أخ	اسم
أخانا	ءخو	أخ	اسم
أخيه	ءخو	أخ	اسم
أخواتهن	ءخو	أخت	اسم
أخواتكم	ءخو	أخت	اسم
أخويكم	ءخو	أخ	اسم
أخوهم	ءخو	أخ	اسم
الأخ	ءخو	أخ	اسم
بأخيك	ءخو	أخ	اسم
ولأخي	ءخو	أخ	اسم
وأخاه	ءخو	أخ	اسم
وأخوه	ءخو	أخ	اسم
وأخوك	ءخو	أخ	اسم
أخت	ءخو	أخت	اسم
أختها	ءخو	أخت	اسم
أختك	ءخو	أخت	اسم
وأخواتكم	ءخو	أخت	اسم
إخوان	ءخو	أخ	اسم
لأخته	ءخو	أخت	اسم
لإخوانهم	ءخو	أخ	اسم
الأختين	ءخو	أخت	اسم
ائذن	ءذن	أذن	فعل
فأذنوا	ءذن	أذّن	فعل
استأذن	ءذن	استأذن	فعل
استأذنك	ءذن	استأذن	فعل
استأذنوك	ءذن	استأذن	فعل
فاستأذنوك	ءذن	استأذن	فعل
آذن	ءذن	آذن	فعل
آذنك	ءذن	آذن	فعل
آذنتكم	ءذن	آذن	فعل
وأذن	ءذن	أذّن	فعل
آذان	ءذن	أذن	اسم
آذانهم	ءذن	أذن	اسم
آذاننا	ءذن	أذن	اسم
أذنيه	ءذن	أذن	اسم
بالأذن	ءذن	أذن	اسم
فأذن	ءذن	أذن	فعل
والأذن	ءذن	أذن	اسم
أذنت	ءذن	أذن	فعل
وأذنت	ءذن	أذن	فعل
بإذن	ءذن	إذن	اسم
بإذني	ءذن	إذن	اسم
بإذنه	ءذن	إذن	اسم
فبإذن	ءذن	إذن	اسم
إذنه	ءذن	إذن	اسم
تأذن	ءذن	تأذن	فعل
مؤذن	ءذن	مؤذن	اسم
ليؤذن	ءذن	أذن	فعل
يؤذن	ءذن	أذن	فعل
يأذن	ءذن	أذن	فعل
ليستئذنكم	ءذن	استأذن	فعل
يستأذنك	ءذن	استأذن	فعل
ويستئذن	ءذن	استأذن	فعل
يستئذنوه	ءذن	استأذن	فعل
يستئذنونك	ءذن	استأذن	فعل
فليستئذنوا	ءذن	استأذن	فعل
آذيتمونا	ءذي	آذى	فعل
آذوا	ءذي	آذى	فعل
أذى	ءذي	أذى	اسم
أذاهم	ءذي	أذى	اسم
أوذي	ءذي	آذى	فعل
أوذينا	ءذي	آذى	فعل
مآرب	ءرب	مأرب	اسم
الإربة	ءرب	إربة	اسم
أرضهم	ءرض	أرض	اسم
أرضنا	ءرض	أرض	اسم
أرضكم	ءرض	أرض	اسم
الأرض	ءرض	أرض	اسم
يأرض	ءرض	أرض	اسم
وللأرض	ءرض	أرض	اسم
وأرض	ءرض	أرض	اسم
وأرضا	ءرض	أرض	اسم
والأرض	ءرض	أرض	اسم
الأرائك	ءرك	أريكة	اسم
أزا	ءزز	أز	اسم
أزفت	ءزف	أزف	فعل
الآزفة	ءزف	آزفة	اسم
أسرهم	ءسر	أسر	اسم
أسرى	ءسر	أسير	اسم
الأسرى	ءسر	أسير	اسم
وتأسرون	ءسر	أسر	فعل
أسس	ءسس	أسّس	فعل
آسفونا	ءسف	آسف	فعل
أسفا	ءسف	أسف	اسم
آسن	ءسن	آسن	اسم
آسى	ءسي	آسى	فعل
والآصال	ءصل	أصيل	اسم
أصل	ءصل	أصل	اسم
أصلها	ءصل	أصل	اسم
أصولها	ءصل	أصل	اسم
أف	ءفف	أف	فعل
أإفكا	ءفك	إفك	اسم
والمؤتفكات	ءفك	مؤتفك	اسم
لتأفكنا	ءفك	آفك	فعل
أفاك	ءفك	أفاك	اسم
أفك	ءفك	أفك	اسم
بالإفك	ءفك	إفك	اسم
أفل	ءفل	أفل	فعل
أفلت	ءفل	أفل	فعل
الآفلين	ءفل	آفل	اسم
آكلون	ءكل	أكل	اسم
أكله	ءكل	أكل	اسم
أكلها	ءكل	أكل	اسم
الأكل	ءكل	أكل	اسم
فأكله	ءكل	أكل	فعل
وأكلهم	ءكل	أكل	اسم
فأكلا	ءكل	أكل	فعل
لأكلوا	ءكل	أكل	فعل
تأكله	ءكل	أكل	فعل
فتأكل	ءكل	أكل	فعل
لتأكلوا	ءكل	أكل	فعل
تأكلوا	ءكل	أكل	فعل
تأكلوها	ءكل	أكل	فعل
تأكلون	ءكل	أكل	فعل
وتأكلون	ءكل	أكل	فعل
وكلوا	ءكل	أكل	فعل
كلوا	ءكل	أكل	فعل
مأكول	ءكل	مأكول	اسم
يأكل	ءكل	أكل	فعل
يأكله	ءكل	أكل	فعل
يأكلهن	ءكل	أكل	فعل
فليأكل	ءكل	أكل	فعل
يأكلان	ءكل	أكل	فعل
يأكلن	ءكل	أكل	فعل
ليأكلوا	ءكل	أكل	فعل
يأكلوا	ءكل	أكل	فعل
ليأكلون	ءكل	أكل	فعل
يأكلون	ءكل	أكل	فعل
ويأكلون	ءكل	أكل	فعل
للآكلين	ءكل	أكل	اسم
لآكلون	ءكل	آكل	اسم
وكلا	ءكل	أكل	فعل
كلي	ءكل	أكل	فعل
ألا	ألا	ألا	أداة
ألتناهم	ءلت	ألت	فعل
ألف	ءلف	ألف	اسم
ألفا	ءلف	ألف	اسم
بألف	ءلف	ألف	اسم
كألف	ءلف	ألف	اسم
ألفين	ءلف	ألف	اسم
آلاف	ءلف	ألف	اسم
ألفت	ءلف	ألّف	فعل
ألفوا	ءلف	ألفى	فعل
ألوف	ءلف	ألف	اسم
لإيلف	ءلف	إيلاف	اسم
ملائكة	ءلك	ملك	اسم
ملكا	ءلك	ملك	اسم
ملكين	ءلك	ملك	اسم
بالملائكة	ءلك	ملك	اسم
وملائكته	ءلك	ملك	اسم
والملائكة	ءلك	ملك	اسم
والملك	ءلك	ملك	اسم
للملائكة	ءلك	ملك	اسم
الملائكة	ءلك	ملك	اسم
الملكين	ءلك	ملك	اسم
أليم	ءلم	أليم	اسم
أليما	ءلم	أليم	اسم
الأليم	ءلم	أليم	اسم
تألمون	ءلم	ألم	فعل
أإله	ءله	إله	اسم
آلهتنا	ءله	إله	اسم
آلهة	ءله	إله	اسم
آلهتي	ءله	إله	اسم
آلهتهم	ءله	إله	اسم
آلهتنا	ءله	إله	اسم
آلهتكم	ءله	إله	اسم
الآلهة	ءله	إله	اسم
بآلهتنا	ءله	إله	اسم
فإلهكم	ءله	إله	اسم
إله	ءله	إله	اسم
إلها	ءله	إله	اسم
إلهين	ءله	إله	اسم
إلهه	ءله	إله	اسم
إلهك	ءله	إله	اسم
إلهكم	ءله	إله	اسم
وآلهتك	ءله	إله	اسم
وإله	ءله	إله	اسم
وإلهنا	ءله	إله	اسم
وإلهكم	ءله	إله	اسم
يؤلون	ءلو	ألى	فعل
آلاء	ءلي	آلاء	اسم
أم	أم	أم	أداة
أمدا	ءمد	أمد	اسم
الآمرون	ءمر	آمر	اسم
وأتمروا	ءمر	ائتمر	فعل
لأمارة	ءمر	أمارة	اسم
لأمر	ءمر	أمر	اسم
أمر	ءمر	أمر	فعل
أمرا	ءمر	أمر	اسم
أمري	ءمر	أمر	اسم
أمره	ءمر	أمر	اسم
أمرهم	ءمر	أمر	فعل
أمرها	ءمر	أمر	اسم
أمرنا	ءمر	أمر	اسم
أمركم	ءمر	أمر	اسم
أمركم	ءمر	أمر	فعل
الأمر	ءمر	أمر	اسم
الأمور	ءمر	أمر	اسم
بأمر	ءمر	أمر	اسم
بأمره	ءمر	أمر	اسم
بأمرهم	ءمر	أمر	اسم
بأمرنا	ءمر	أمر	اسم
وأمر	ءمر	أمر	اسم
وأمره	ءمر	أمر	اسم
وأمرهم	ءمر	أمر	اسم
والأمر	ءمر	أمر	اسم
أمرت	ءمر	أمر	فعل
أمرتهم	ءمر	أمر	فعل
أمرتني	ءمر	أمر	فعل
أمرتك	ءمر	أمر	فعل
وأمرت	ءمر	أمر	فعل
وأمرنا	ءمر	أمر	فعل
تؤمر	ءمر	أمر	فعل
تؤمرون	ءمر	أمر	فعل
تأمرك	ءمر	أمر	فعل
أتأمرون	ءمر	أمر	فعل
تأمرون	ءمر	أمر	فعل
تأمروني	ءمر	أمر	فعل
تأمروننا	ءمر	أمر	فعل
تأمرين	ءمر	أمر	فعل
يأتمرون	ءمر	ائتمر	فعل
أيأمركم	ءمر	أمر	فعل
يأمر	ءمر	أمر	فعل
يأمرهم	ءمر	أمر	فعل
يأمركم	ءمر	أمر	فعل
ويأمركم	ءمر	أمر	فعل
يأمرون	ءمر	أمر	فعل
ويأمرون	ءمر	أمر	فعل
آمره	ءمر	أمر	فعل
أمة	ءمم	أمة	اسم
وأمهات	ءمم	أمّ	اسم
وأمهاتكم	ءمم	أمّ	اسم
أمهاتكم	ءمم	أمّ	اسم
أمهاتهم	ءمم	أمّ	اسم
إمام	ءمم	إمام	اسم
أمما	ءمم	أمة	اسم
أمامه	أمم	أمام	أداة
أمتا	ءمم	أمت	اسم
أمين	ءمم	أمين	اسم
أميون	ءمم	أمي	اسم
أمها	ءمم	أمّ	فعل
آمين	ءمم	آمين	اسم
لبإمام	ءمم	إمام	اسم
الأمي	ءمم	أمي	اسم
الأمين	ءمم	أمين	اسم
لآمن	ءمن	آمن	فعل
آمن	ءمن	آمن	فعل
آمنين	ءمن	آمن	اسم
آمنون	ءمن	آمن	اسم
آمنكم	ءمن	آمن	فعل
الآمنين	ءمن	آمن	اسم
فآمن	ءمن	آمن	فعل
وآمن	ءمن	آمن	فعل
وآمنهم	ءمن	آمن	فعل
آمنا	ءمن	آمن	فعل
فآمنا	ءمن	آمن	فعل
آمنت	ءمن	آمن	فعل
فآمنت	ءمن	آمن	فعل
آمنتم	ءمن	آمن	فعل
وآمنتم	ءمن	آمن	فعل
آمنوا	ءمن	آمن	فعل
فآمنوا	ءمن	آمن	فعل
وآمنوا	ءمن	آمن	فعل
اؤتمن	ءمن	اؤتمن	فعل
فآمن	ءمن	آمن	فعل
لأماناتهم	ءمن	أمانة	اسم
أماناتكم	ءمن	أمانة	اسم
الأمانات	ءمن	أمانة	اسم
أمانته	ءمن	أمانته	اسم
أفأمن	ءمن	أمن	فعل
أوأمن	ءمن	أمن	فعل
الأمن	ءمن	أمن	اسم
بالأمن	ءمن	أمن	اسم
وأمنا	ءمن	أمن	اسم
آمنتم	ءمن	أمن	فعل
أفأمنتم	ءمن	أمن	فعل
أفأمنوا	ءمن	أمن	فعل
للإيمان	ءمن	إيمان	اسم
الإيمان	ءمن	إيمان	اسم
بالإيمان	ءمن	إيمان	اسم
بإيمان	ءمن	إيمان	اسم
بإيمانهم	ءمن	إيمان	اسم
بإيمانهن	ءمن	إيمان	اسم
بإيمانكم	ءمن	إيمان	اسم
إيمانا	ءمن	إيمان	اسم
إيمانه	ءمن	إيمان	اسم
إيمانهم	ءمن	إيمان	اسم
إيمانها	ءمن	إيمان	اسم
إيمانكم	ءمن	إيمان	اسم
والإيمان	ءمن	إيمان	اسم
لتؤمنن	ءمن	آمن	فعل
تؤمن	ءمن	آمن	فعل
تؤمنوا	ءمن	آمن	فعل
أفتؤمنون	ءمن	آمن	فعل
تؤمنون	ءمن	آمن	فعل
وتؤمنون	ءمن	آمن	فعل
تأمنا	ءمن	أمن	فعل
تأمنه	ءمن	أمن	فعل
للمؤمنين	ءمن	مؤمن	اسم
لمؤمن	ءمن	مؤمن	اسم
مؤمنين	ءمن	مؤمن	اسم
مؤمنون	ءمن	مؤمن	اسم
المؤمنين	ءمن	مؤمن	اسم
المؤمنون	ءمن	مؤمن	اسم
بمؤمن	ءمن	مؤمن	اسم
بمؤمنين	ءمن	مؤمن	اسم
بالمؤمنين	ءمن	مؤمن	اسم
