-e word	root	lemma
أسخطتماهما	سخط	اسخط
أسخطتماهن	سخط	اسخط
أسخطتمونا	سخط	اسخط
أسخطتموني	سخط	اسخط
أسخطتموه	سخط	اسخط
أسخطتموها	سخط	اسخط
أسخطتموهم	سخط	اسخط
أسخطتموهما	سخط	اسخط
أسخطتموهن	سخط	اسخط
أسخطتن	سخط	اسخط
أسخطتنا	سخط	اسخط
أسخطتننا	سخط	اسخط
أسخطتنني	سخط	اسخط
أسخطتنه	سخط	اسخط
أسخطتنها	سخط	اسخط
أسخطتنهم	سخط	اسخط
أسخطتنهما	سخط	اسخط
أسخطتنهن	سخط	اسخط
أسخطتني	سخط	اسخط
أسخطته	سخط	اسخط
أسخطتها	سخط	اسخط
أسخطتهم	سخط	اسخط
أسخطتهما	سخط	اسخط
أسخطتهن	سخط	اسخط
أسخطك	سخط	اسخط
أسخطكم	سخط	اسخط
أسخطكما	سخط	اسخط
أسخطكن	سخط	اسخط
أسخطن	سخط	اسخط
اسخطن	سخط	اسخط
أسخطنا	سخط	اسخط
أسخطناك	سخط	اسخط
أسخطناكم	سخط	اسخط
أسخطناكما	سخط	اسخط
أسخطناكن	سخط	اسخط
أسخطناه	سخط	اسخط
أسخطناها	سخط	اسخط
أسخطناهم	سخط	اسخط
أسخطناهما	سخط	اسخط
أسخطناهن	سخط	اسخط
أسخطنك	سخط	اسخط
أسخطنكم	سخط	اسخط
أسخطنكما	سخط	اسخط
أسخطنكن	سخط	اسخط
أسخطننا	سخط	اسخط
أسخطنني	سخط	اسخط
أسخطنه	سخط	اسخط
أسخطنها	سخط	اسخط
أسخطنهم	سخط	اسخط
أسخطنهما	سخط	اسخط
أسخطنهن	سخط	اسخط
أسخطني	سخط	اسخط
اسخطني	سخط	اسخط
أسخطه	سخط	اسخط
اسخطه	سخط	اسخط
أسخطها	سخط	اسخط
أسخطهم	سخط	اسخط
أسخطهما	سخط	اسخط
أسخطهن	سخط	اسخط
أسخطوا	سخط	اسخط
اسخطوا	سخط	اسخط
أسخطوك	سخط	اسخط
أسخطوكم	سخط	اسخط
أسخطوكما	سخط	اسخط
أسخطوكن	سخط	اسخط
أسخطونا	سخط	اسخط
أسخطوني	سخط	اسخط
أسخطوه	سخط	اسخط
أسخطوها	سخط	اسخط
أسخطوهم	سخط	اسخط
أسخطوهما	سخط	اسخط
أسخطوهن	سخط	اسخط
أسخطي	سخط	اسخط
اسخطي	سخط	اسخط
أسقط	سقط	اسقط
أسقطا	سقط	اسقط
اسقطا	سقط	اسقط
أسقطاك	سقط	اسقط
أسقطاكم	سقط	اسقط
أسقطاكما	سقط	اسقط
أسقطاكن	سقط	اسقط
أسقطانا	سقط	اسقط
أسقطاني	سقط	اسقط
أسقطاه	سقط	اسقط
أسقطاها	سقط	اسقط
أسقطاهم	سقط	اسقط
أسقطاهما	سقط	اسقط
أسقطاهن	سقط	اسقط
أسقطت	سقط	اسقط
أسقطتا	سقط	اسقط
أسقطتاك	سقط	اسقط
أسقطتاكم	سقط	اسقط
أسقطتاكما	سقط	اسقط
أسقطتاكن	سقط	اسقط
أسقطتانا	سقط	اسقط
أسقطتاني	سقط	اسقط
أسقطتاه	سقط	اسقط
أسقطتاها	سقط	اسقط
أسقطتاهم	سقط	اسقط
أسقطتاهما	سقط	اسقط
أسقطتاهن	سقط	اسقط
أسقطتك	سقط	اسقط
أسقطتكم	سقط	اسقط
أسقطتكما	سقط	اسقط
أسقطتكن	سقط	اسقط
أسقطتم	سقط	اسقط
أسقطتما	سقط	اسقط
أسقطتمانا	سقط	اسقط
أسقطتماني	سقط	اسقط
أسقطتماه	سقط	اسقط
أسقطتماها	سقط	اسقط
أسقطتماهم	سقط	اسقط
أسقطتماهما	سقط	اسقط
أسقطتماهن	سقط	اسقط
أسقطتمونا	سقط	اسقط
أسقطتموني	سقط	اسقط
أسقطتموه	سقط	اسقط
أسقطتموها	سقط	اسقط
أسقطتموهم	سقط	اسقط
أسقطتموهما	سقط	اسقط
أسقطتموهن	سقط	اسقط
أسقطتن	سقط	اسقط
أسقطتنا	سقط	اسقط
أسقطتننا	سقط	اسقط
أسقطتنني	سقط	اسقط
أسقطتنه	سقط	اسقط
أسقطتنها	سقط	اسقط
أسقطتنهم	سقط	اسقط
أسقطتنهما	سقط	اسقط
أسقطتنهن	سقط	اسقط
أسقطتني	سقط	اسقط
أسقطته	سقط	اسقط
أسقطتها	سقط	اسقط
أسقطتهم	سقط	اسقط
أسقطتهما	سقط	اسقط
أسقطتهن	سقط	اسقط
أسقطك	سقط	اسقط
أسقطكم	سقط	اسقط
أسقطكما	سقط	اسقط
أسقطكن	سقط	اسقط
أسقطم	سقط	اسقط
أسقطن	سقط	اسقط
اسقطن	سقط	اسقط
أسقطنا	سقط	اسقط
أسقطناك	سقط	اسقط
أسقطناكم	سقط	اسقط
أسقطناكما	سقط	اسقط
أسقطناكن	سقط	اسقط
أسقطناه	سقط	اسقط
أسقطناها	سقط	اسقط
أسقطناهم	سقط	اسقط
أسقطناهما	سقط	اسقط
أسقطناهن	سقط	اسقط
أسقطنك	سقط	اسقط
أسقطنكم	سقط	اسقط
أسقطنكما	سقط	اسقط
أسقطنكن	سقط	اسقط
أسقطننا	سقط	اسقط
أسقطنني	سقط	اسقط
أسقطنه	سقط	اسقط
أسقطنها	سقط	اسقط
أسقطنهم	سقط	اسقط
أسقطنهما	سقط	اسقط
أسقطنهن	سقط	اسقط
أسقطني	سقط	اسقط
أسقطه	سقط	اسقط
أسقطها	سقط	اسقط
أسقطهم	سقط	اسقط
أسقطهما	سقط	اسقط
أسقطهن	سقط	اسقط
أسقطوا	سقط	اسقط
أسقطوك	سقط	اسقط
أسقطوكم	سقط	اسقط
أسقطوكما	سقط	اسقط
أسقطوكن	سقط	اسقط
أسقطونا	سقط	اسقط
أسقطوني	سقط	اسقط
أسقطوه	سقط	اسقط
أسقطوها	سقط	اسقط
أسقطوهم	سقط	اسقط
أسقطوهما	سقط	اسقط
أسقطوهن	سقط	اسقط
أسقطي	سقط	اسقط
اسقطي	سقط	اسقط
باختصار	خصر	اختصار
باختصارات	خصر	اختصار
باختصاراتك	خصر	اختصار
باختصاراتكم	خصر	اختصار
باختصاراتكما	خصر	اختصار
باختصاراتكن	خصر	اختصار
باختصاراتنا	خصر	اختصار
باختصاراته	خصر	اختصار
باختصاراتها	خصر	اختصار
باختصاراتهم	خصر	اختصار
باختصاراتهما	خصر	اختصار
باختصاراتهن	خصر	اختصار
باختصاراتي	خصر	اختصار
باختصارك	خصر	اختصار
باختصاركم	خصر	اختصار
باختصاركما	خصر	اختصار
باختصاركن	خصر	اختصار
باختصارنا	خصر	اختصار
باختصاره	خصر	اختصار
باختصارها	خصر	اختصار
باختصارهم	خصر	اختصار
باختصارهما	خصر	اختصار
باختصارهن	خصر	اختصار
باختصاري	خصر	اختصار
باختصاريك	خصر	اختصار
باختصاريكم	خصر	اختصار
باختصاريكما	خصر	اختصار
باختصاريكن	خصر	اختصار
باختصارين	خصر	اختصار
باختصارينا	خصر	اختصار
باختصاريه	خصر	اختصار
باختصاريها	خصر	اختصار
باختصاريهم	خصر	اختصار
باختصاريهما	خصر	اختصار
باختصاريهن	خصر	اختصار
باختصاريي	خصر	اختصار
بإخراج	خرج	اخراج
بإخراجك	خرج	اخراج
بإخراجكم	خرج	اخراج
بإخراجكما	خرج	اخراج
بإخراجكن	خرج	اخراج
بإخراجنا	خرج	اخراج
بإخراجه	خرج	اخراج
بإخراجها	خرج	اخراج
بإخراجهم	خرج	اخراج
بإخراجهما	خرج	اخراج
بإخراجهن	خرج	اخراج
بإخراجي	خرج	اخراج
بإخراس	خرس	اخراس
بإخراسك	خرس	اخراس
بإخراسكم	خرس	اخراس
بإخراسكما	خرس	اخراس
بإخراسكن	خرس	اخراس
بإخراسنا	خرس	اخراس
بإخراسه	خرس	اخراس
بإخراسها	خرس	اخراس
بإخراسهم	خرس	اخراس
بإخراسهما	خرس	اخراس
بإخراسهن	خرس	اخراس
بإخراسي	خرس	اخراس
بإسلام	سلم	اسلام
بإسلامك	سلم	اسلام
بإسلامكم	سلم	اسلام
بإسلامكما	سلم	اسلام
بإسلامكن	سلم	اسلام
بإسلامنا	سلم	اسلام
بإسلامه	سلم	اسلام
بإسلامها	سلم	اسلام
بإسلامهم	سلم	اسلام
بإسلامهما	سلم	اسلام
بإسلامهن	سلم	اسلام
بإسلامي	سلم	اسلام
بإسلاميات	سلم	اسلام
بإسلامية	سلم	اسلام
بإسلاميتكم	سلم	اسلام
بإسلاميته	سلم	اسلام
بإسلاميتها	سلم	اسلام
بإسلاميتهم	سلم	اسلام
بإسلاميتي	سلم	اسلام
بإسلاميتين	سلم	اسلام
بإسلامين	سلم	اسلام
بإسلاميي	سلم	اسلام
بإسلامييك	سلم	اسلام
بإسلامييكم	سلم	اسلام
بإسلامييكما	سلم	اسلام
بإسلامييكن	سلم	اسلام
بإسلاميين	سلم	اسلام
بإسلاميينا	سلم	اسلام
بإسلامييه	سلم	اسلام
بإسلامييها	سلم	اسلام
بإسلامييهم	سلم	اسلام
بإسلامييهما	سلم	اسلام
بإسلامييهن	سلم	اسلام
ببواب	باب	بواب
ببوابات	باب	بواب
ببواباتك	باب	بواب
ببواباتكم	بوب	بواب
ببواباتكما	بوب	بواب
ببواباتكن	بوب	بواب
ببواباتنا	بوب	بواب
ببواباته	بوب	بواب
ببواباتها	بوب	بواب
ببواباتهم	بوب	بواب
ببواباتهما	بوب	بواب
ببواباتهن	بوب	بواب
ببواباتي	بوب	بواب
ببوابة	بوب	بواب
ببوابتك	بوب	بواب
ببوابتكم	بوب	بواب
ببوابتكما	بوب	بواب
ببوابتكن	بوب	بواب
ببوابتنا	بوب	بواب
ببوابته	بوب	بواب
ببوابتها	بوب	بواب
ببوابتهم	بوب	بواب
ببوابتهما	بوب	بواب
ببوابتهن	بوب	بواب
ببوابتي	بوب	بواب
ببوابتيك	بوب	بواب
ببوابتيكم	بوب	بواب
ببوابتيكما	بوب	بواب
ببوابتيكن	بوب	بواب
ببوابتين	بوب	بواب
ببوابتينا	بوب	بواب
ببوابتيه	بوب	بواب
ببوابتيها	بوب	بواب
ببوابتيهم	بوب	بواب
ببوابتيهما	بوب	بواب
ببوابتيهن	بوب	بواب
ببوابك	بوب	بواب
ببوابكم	بوب	بواب
ببوابكما	بوب	بواب
ببوابكن	بوب	بواب
ببوابنا	بوب	بواب
ببوابه	بوب	بواب
ببوابها	بوب	بواب
ببوابهم	بوب	بواب
ببوابهما	بوب	بواب
ببوابهن	بوب	بواب
ببوابي	بوب	بواب
ببئس	بيس	بيس
ببئسك	بيس	بيس
ببئسكم	بيس	بيس
ببئسكما	بيس	بيس
ببئسكن	بيس	بيس
ببئسنا	بيس	بيس
ببئسه	بيس	بيس
ببئسها	بيس	بيس
ببئسهم	بيس	بيس
ببئسهما	بيس	بيس
ببئسهن	بيس	بيس
ببئسي	بيس	بيس
ببئيس	بيس	بييس
ببئيسك	بيس	بييس
ببئيسكم	بيس	بييس
ببئيسكما	بيس	بييس
ببئيسكن	بيس	بييس
ببئيسنا	بيس	بييس
ببئيسه	بيس	بييس
ببئيسها	بيس	بييس
ببئيسهم	بيس	بييس
ببئيسهما	بيس	بييس
ببئيسهن	بيس	بييس
ببئيسي	بيس	بييس
ببيتك	بيت	بيت
ببيتكم	بيت	بيت
ببيتكما	بيت	بيت
ببيتكن	بيت	بيت
ببيتنا	بيت	بيت
ببيته	بيت	بيت
ببيتها	بيت	بيت
ببيتهم	بيت	بيت
ببيتهما	بيت	بيت
بتأثر	ءثر	تاثر
بتأثرات	ءثر	تاثر
بتأثراتهم	ءثر	تاثر
بتأثرك	ءثر	تاثر
بتأثركم	ءثر	تاثر
بتأثركما	ءثر	تاثر
بتأثركن	ءثر	تاثر
بتأثرنا	ءثر	تاثر
بتأثره	ءثر	تاثر
بتأثرها	ءثر	تاثر
بتأثرهم	ءثر	تاثر
بتأثرهما	ءثر	تاثر
بتأثرهن	ءثر	تاثر
بتأثري	ءثر	تاثر
بتأثريات	ءثر	تاثر
بتأثرية	ءثر	تاثر
بتأثريتك	ءثر	تاثر
بتأثريتكم	ءثر	تاثر
بتأثريتكما	ءثر	تاثر
بتأثريتكن	ءثر	تاثر
بتأثريتنا	ءثر	تاثر
بتأثريته	ءثر	تاثر
بتأثريتها	ءثر	تاثر
بتأثريتهم	ءثر	تاثر
بتأثريتهما	ءثر	تاثر
بتأثريتهن	ءثر	تاثر
بتأثريتي	ءثر	تاثر
بتأثريتيك	ءثر	تاثر
بتأثريتيكم	ءثر	تاثر
بتأثريتيكما	ءثر	تاثر
بتأثريتيكن	ءثر	تاثر
بتأثريتين	ءثر	تاثر
بتأثريتينا	ءثر	تاثر
بتأثريتيه	ءثر	تاثر
بتأثريتيها	ءثر	تاثر
بتأثريتيهم	ءثر	تاثر
بتأثريتيهما	ءثر	تاثر
بتأثريتيهن	ءثر	تاثر
بتأثريك	ءثر	تاثر
بتأثريكم	ءثر	تاثر
بتأثريكما	ءثر	تاثر
بتأثريكن	ءثر	تاثر
بتأثرين	ءثر	تاثر
بتأثرينا	ءثر	تاثر
بتأثريه	ءثر	تاثر
بتأثريها	ءثر	تاثر
بتأثريهم	ءثر	تاثر
بتأثريهما	ءثر	تاثر
بتأثريهن	ءثر	تاثر
بتأثريي	ءثر	تاثر
بتأثرييك	ءثر	تاثر
بتأثرييكم	ءثر	تاثر
بتأثرييكما	ءثر	تاثر
بتأثرييكن	ءثر	تاثر
بتأثريين	ءثر	تاثر
بتأثريينا	ءثر	تاثر
بتأثرييه	ءثر	تاثر
بتأثرييها	ءثر	تاثر
بتأثرييهم	ءثر	تاثر
بتأثرييهما	ءثر	تاثر
بتأثرييهن	ءثر	تاثر
بمعهد	عهد	معهد
بمعهدك	عهد	معهد
بمعهدكم	عهد	معهد
بمعهدكما	عهد	معهد
بمعهدكن	عهد	معهد
بمعهدنا	عهد	معهد
بمعهده	عهد	معهد
بمعهدها	عهد	معهد
بمعهدهم	عهد	معهد
بمعهدهما	عهد	معهد
بمعهدهن	عهد	معهد
بمعهدي	عهد	معهد
بمعهديك	عهد	معهد
بمعهديكم	عهد	معهد
بمعهديكما	عهد	معهد
بمعهديكن	عهد	معهد
بمعهدين	عهد	معهد
بمعهدينا	عهد	معهد
بمعهديه	عهد	معهد
بمعهديها	عهد	معهد
بمعهديهم	عهد	معهد
بمعهديهما	عهد	معهد
بمعهديهن	عهد	معهد
بمعهود	عهد	معهود
بمعهودة	عهد	معهود
بمعهودتك	عهد	معهود
بمعهودتكم	عهد	معهود
بمعهودتكما	عهد	معهود
بمعهودتكن	عهد	معهود
بمعهودتنا	عهد	معهود
بمعهودته	عهد	معهود
بمعهودتها	عهد	معهود
بمعهودتهم	عهد	معهود
بمعهودتهما	عهد	معهود
بمعهودتهن	عهد	معهود
بمعهودتي	عهد	معهود
بمعهودتيك	عهد	معهود
بمعهودتيكم	عهد	معهود
بمعهودتيكما	عهد	معهود
بمعهودتيكن	عهد	معهود
بمعهودتين	عهد	معهود
بمعهودتينا	عهد	معهود
بمعهودتيه	عهد	معهود
بمعهودتيها	عهد	معهود
بمعهودتيهم	عهد	معهود
بمعهودتيهما	عهد	معهود
بمعهودتيهن	عهد	معهود
بمعهودك	عهد	معهود
بمعهودكم	عهد	معهود
بمعهودكما	عهد	معهود
بمعهودكن	عهد	معهود
بمعهودنا	عهد	معهود
بمعهوده	عهد	معهود
بمعهودها	عهد	معهود
بمعهودهم	عهد	معهود
بمعهودهما	عهد	معهود
بمعهودهن	عهد	معهود
بمعهودي	عهد	معهود
بمعهوديك	عهد	معهود
بمعهوديكم	عهد	معهود
بمعهوديكما	عهد	معهود
بمعهوديكن	عهد	معهود
بمعهودين	عهد	معهود
بمعهودينا	عهد	معهود
بمعهوديه	عهد	معهود
بمعهوديها	عهد	معهود
بمعهوديهم	عهد	معهود
بمعهوديهما	عهد	معهود
بمعهوديهن	عهد	معهود
بمعيار	عير	معيار
بمعيارك	عير	معيار
بمعياركم	عير	معيار
بمعياركما	عير	معيار
بمعياركن	عير	معيار
بمعيارنا	عير	معيار
بمعياره	عير	معيار
بمعيارها	عير	معيار
بمعيارهم	عير	معيار
بمعيارهما	عير	معيار
بمعيارهن	عير	معيار
بمعياري	عير	معيار
بمعياريات	عير	معيار
بمعيارية	عير	معيار
بمعياريك	عير	معيار
بمعياريكم	عير	معيار
بمعياريكما	عير	معيار
بمعياريكن	عير	معيار
بمعيارين	عير	معيار
بمعيارينا	عير	معيار
بمعياريه	عير	معيار
بمعياريها	عير	معيار
بمعياريهم	عير	معيار
بمعياريهما	عير	معيار
بمعياريهن	عير	معيار
بمعياريي	عير	معيار
بمعياريين	عير	معيار
اخذ	اخذ	اخذ
سأل	سءل	سال
يسأل	سءل	سال
السائل	سءل	سايل
اب	ءبو	اب
أأب	ءوب	اب
أأباكم	ءبو	اب
درس	درس	درس
فدرس	درس	درس
ودرس	درس	درس
تدرس	درس	درس
ادرس	درس	درس
ندرس	درس	درس
يدرس	درس	درس
ستدرس	درس	درس
سادرس	درس	درس
سندرس	درس	درس
سيدرس	درس	درس
لدرس	درس	درس
كدرس	درس	درس
الدرس	درس	درس
للدرس	درس	درس
فالدرس	درس	درس
كالدرس	درس	درس
والدرس	درس	درس
مدرس	درس	مدرس
المدرس	درس	مدرس
فالمدرس	درس	مدرس
والمدرس	درس	مدرس
كالمدرس	درس	مدرس
درسه	درس	درس
فدرسه	درس	درس
ودرسه	درس	درس
تدرسه	درس	درس
ادرسه	درس	درس
ندرسه	درس	درس
يدرسه	درس	درس
ستدرسه	درس	درس
سادرسه	درس	درس
سندرسه	درس	درس
سيدرسه	درس	درس
لدرسه	درس	درس
كدرسه	درس	درس
مدرسه	درس	مدرس
درسها	درس	درس
فدرسها	درس	درس
ودرسها	درس	درس
تدرسها	درس	درس
ادرسها	درس	درس
ندرسها	درس	درس
يدرسها	درس	درس
ستدرسها	درس	درس
