word	root	lemma
اتهام	جذر	اتهام
اثنين	جذر	ثنى
اجتاحت	جذر	اجتاح
اجتماع	جذر	اجتماع
اجتماعية	جذر	اجتماع;اجتماعي
احتج	جذر	احتاج;احتج
احتجاجا	جذر	احتجاج
احترامها	جذر	احترام
احتضنت	جذر	احتضن
احتفاء	جذر	احتفاء
احتلال	جذر	احتلال
احتمال	جذر	احتمال
احتياجاته	جذر	احتياج
احتياطيا	جذر	احتياط;احتياطي
اختار	جذر	اختار
اختيار	جذر	اختيار
ارتفاع	جذر	ارتفاع
ارتكب	جذر	ارتكب
استبداد	جذر	استبداد
استبسل	جذر	استبسل
استبعاد	جذر	استبعاد
استثمارات	جذر	استثمار
استثناء	جذر	استثناء
استثنائيا	جذر	استثناء;استثنائي
استخدام	جذر	استخدام
استخدم	جذر	استخدم
استخف	جذر	استخفى;استخف
استدراجه	جذر	استدراج
استدعاء	جذر	استدعاء
استدعت	جذر	استدعى
استصدار	جذر	استصدار
استطاع	جذر	استطاع
استطاعتهم	جذر	استطاع;استطاعة
استعمال	جذر	استعمال
استغرق	جذر	استغرق
استغلال	جذر	استغلال
استغلتها	جذر	استغلى;استغل
استفادت	جذر	استفاد
استفتاء	جذر	استفتاء
استقبال	جذر	استقبال
استقبلوا	جذر	استقبل
استقصائيا	جذر	استقصاء
استقل	جذر	استقال;استقل
استقلالا	جذر	استقلال
استلهم	جذر	استل;استلهم
استلهمها	جذر	استلهم
استمر	جذر	استمر
استمرار	جذر	استمرار
استنفار	جذر	استنفار
استهداف	جذر	استهداف
استهدف	جذر	استهدف
استهلاكا	جذر	استهلاك
استيراد	جذر	استيراد
استيعاب	جذر	استيعاب
استيقظت	جذر	استيقظ
اسم	جذر	سما;اسم
اشتبك	جذر	اشتبك
اشتداد	جذر	اشتداد
اشتعلت	جذر	اشتعل
اشتهرت	جذر	اشتهر
اصطلح	جذر	اصطلح
اضطر	جذر	اضطر
اضطرابات	جذر	اضطراب
اعتبار	جذر	اعتبار
اعتداء	جذر	اعتداء
اعتراضه	جذر	اعتراض
اعترافا	جذر	اعتراف
اعتزل	جذر	اعتزل
اعتقاد	جذر	اعتقاد
اغتصب	جذر	اغتصب
اغتيال	جذر	اغتيال
افتتاحية	جذر	افتتاح;افتتاحية
افتتحتها	جذر	افتتح
اقتباسه	جذر	اقتباس
اقتحام	جذر	اقتحام
اقتحم	جذر	اقتحم
اقتراب	جذر	اقتراب
اقترب	جذر	اقترب
اقترح	جذر	اقترح
اقترفت	جذر	اقترف
اقتصادية	جذر	اقتصادي;اقتصاد
اقدم	جذر	قدم
اقرأ	جذر	قرأ
اكتئاب	جذر	اكتئاب
اكتسبها	جذر	اكتسب
اكتشف	جذر	اكتشف
ال	جذر	ال
الآثمة	جذر	آثم
الآسيوي	جذر	آسيوي
الآفاق	جذر	آفاق
الآلة	جذر	آلة
الآن	جذر	الآن
الأئمة	جذر	أئمة
الأب	جذر	أب
الأبدي	جذر	أبدي;أبد
الأبرز	جذر	أبرز
الأبناء	جذر	أبناء
الأبواب	جذر	أبواب
الأبوين	جذر	أبوي
الأبيض	جذر	أبيض
الأثرياء	جذر	أثرياء
الأثناء	جذر	أثناء
الأجانب	جذر	أجانب
الأجنبي	جذر	أجنبي
الأجهزة	جذر	أجهزة
الأجيال	جذر	أجيال
الأحداث	جذر	أحداث
الأحزاب	جذر	أحزاب
الأحسن	جذر	أحسن
الأحفاد	جذر	أحفاد
الأحمر	جذر	أحمر
الأخبار	جذر	أخبار
الأخذ	جذر	أخذ
الأخضر	جذر	أخضر
الأخطاء	جذر	أخطاء
الأخلاق	جذر	أخلاق
الأخير	جذر	أخير
الأداء	جذر	أداء
الأدلة	جذر	أدلة
الأذرع	جذر	أذرع
الأراضي	جذر	أراضي
الأرباح	جذر	أرباح
الأربعاء	جذر	أربعاء
الأردني	جذر	أردني;أردن
الأرض	جذر	أرض
الأرقام	جذر	أرقام
الأزرق	جذر	أزرق
الأزمة	جذر	أزمة
الأساسيين	جذر	أساسي
الأسبوع	جذر	أسبوع
الأسد	جذر	أسد
الأسر	جذر	أسر
الأسرع	جذر	أسرع
الأسطوري	جذر	أسطورة
الأسف	جذر	أسف
الأسواق	جذر	أسواق
الأسود	جذر	أسود
الأشاوس	جذر	أشاوس
الأشخاص	جذر	أشخاص
الأشداء	جذر	أشداء
الأشكال	جذر	أشكال
الأشهر	جذر	أشهر
الأشواط	جذر	أشواط
الأصل	جذر	أصل
الأصوات	جذر	أصوات
الأصول	جذر	أصول
الأطراف	جذر	أطراف
الأطفال	جذر	أطفال
الأعداد	جذر	أعداد
الأعراض	جذر	أعراض
الأعراق	جذر	أعراق
الأعظم	جذر	أعظم
الأعمال	جذر	أعمال
الأعياد	جذر	أعياد
الأفضل	جذر	أفضل
الأفكار	جذر	أفكار
الأفلام	جذر	أفلام
الأقطار	جذر	أقطار
الأقل	جذر	أقل
الأقوياء	جذر	أقوياء
الأكبر	جذر	أكبر
الأكثر	جذر	أكثر
الأكل	جذر	أكل
الألعاب	جذر	ألعاب
الألقاب	جذر	ألقاب
الأم	جذر	لأم;أم
الأماكن	جذر	لأم;أماكن
الأمان	جذر	أمان;لأم;أم
الأمثل	جذر	أمثل
الأمثلة	جذر	أمثل;أمثلة
الأمجد	جذر	أمجد
الأمر	جذر	أمر
الأمن	جذر	أمن;لأم
الأمنية	جذر	أمنية;أمن
الأموال	جذر	أموال
الأمير	جذر	أمير
الأمين	جذر	أمين;أم
الأندية	جذر	أندية;أندى
الأنصار	جذر	أنصار
الأنظار	جذر	أنظار
الأنظمة	جذر	أنظمة
الأنوف	جذر	أنوف
الأنيق	جذر	أنيق
الأهداف	جذر	أهداف
الأهلي	جذر	أهلي;أهل;أهلة
الأهلية	جذر	أهلي;أهلية;أهل;أهلة
الأهمية	جذر	أهمية
الأوبئة	جذر	أوبئة
الأوروبي	جذر	أوروبي
الأوساط	جذر	أوساط
الأوصاف	جذر	أوصاف
الأوضاع	جذر	أوضاع
الأول	جذر	أول
الأولى	جذر	أولى
الأولياء	جذر	أولياء
الأولية	جذر	أولى;أولي;أول
الأيديولوجية	جذر	أيديولوجي
الإبقاء	جذر	إبقاء
الإخبارية	جذر	إخبار
الإخوة	جذر	إخوة
الإسلام	جذر	إسلام
الإضافية	جذر	إضافي;إضافة
الإطاحة	جذر	إطاحة
الإطلاق	جذر	إطلاق
الإطناب	جذر	إطناب
الإعارات	جذر	إعارة
الإعجاب	جذر	إعجاب
الإغاثة	جذر	إغاثة
الإمام	جذر	إمام
الإمبراطوريات	جذر	إمبراطور;إمبراطوري
الإنتاجية	جذر	إنتاجي;إنتاج
الإنسان	جذر	إنس;إنسان
الإنساني	جذر	إنساني;إنسان
الإيجابية	جذر	إيجابي;إيجاب
الإيحاء	جذر	إيحاء
الابتدائية	جذر	ابتداء;ابتدائي
الابتكار	جذر	ابتكار
الابن	جذر	ابن
الاتصال	جذر	اتصال
الاحترافي	جذر	احتراف
الاحتكام	جذر	احتكام
الاختصار	جذر	اختصار
الاختطافات	جذر	اختطاف
الاختلافات	جذر	اختلاف
الادعاءات	جذر	ادعاء
الاستخبارات	جذر	استخبار
الاستعراضية	جذر	استعراض
الاستعمار	جذر	استعمار
الاستفادة	جذر	استفادة
الاستيقاظ	جذر	استيقاظ
الاشتباكات	جذر	اشتباك
الاصطفاف	جذر	اصطفاف
الاطلاع	جذر	اطلاع
الاعتقال	جذر	اعتقال
الاعتماد	جذر	اعتماد
الاغتصاب	جذر	اغتصاب
الافتخار	جذر	افتخار
الافتراضي	جذر	افتراض
الاقتصاد	جذر	اقتصاد
الالتحاق	جذر	التحاق
الامتحان	جذر	امتحان
الانتباه	جذر	انتباه
الانتحار	جذر	انتحار
الانتخابات	جذر	انتخاب
الانتخابية	جذر	انتخاب;انتخابي
الانتشار	جذر	انتشار
الانتظار	جذر	انتظار
الانتفاضات	جذر	انتفاض;انتفاضة
الانتقادات	جذر	انتقاد
الانتقال	جذر	انتقال
الانتقام	جذر	انتقام
الانحياز	جذر	انحياز
الانسحاب	جذر	انسحاب
الانضمام	جذر	انضمام
الانطباع	جذر	انطباع
الانفتاح	جذر	انفتاح
الانفجارات	جذر	انفجار
الانقلاب	جذر	انقلاب
البأس	جذر	بأس
الباحث	جذر	باحث
الباردة	جذر	بارد
البارز	جذر	بارز
الباقي	جذر	باقة;باقي
الباكر	جذر	باكر
البالغ	جذر	بالغ
البالون	جذر	بالون
الباهت	جذر	باهت
البترول	جذر	بترول
البحت	جذر	بحت
البحر	جذر	بحر
البحري	جذر	بحري;بحر
البدء	جذر	بدء
البدائل	جذر	بدائل
البدايات	جذر	بداية
البديعة	جذر	بديع
البديل	جذر	بديل
البذيئة	جذر	بذيئة
البراءة	جذر	براء;براءة
البرازيل	جذر	برازيل
البرازيلية	جذر	برازيلي;برازيل
البرامج	جذر	برامج
البرجوازي	جذر	برجوازي
البرد	جذر	برد
البرلمان	جذر	برلمان
البريئة	جذر	بريئة
البريد	جذر	بريد
البريطاني	جذر	بريطاني
البسيط	جذر	بسيط
البشر	جذر	بشر
البشري	جذر	بشري;بشرة;بشر
البطل	جذر	بطل
البطولة	جذر	بطولة
البعثة	جذر	بعث;بعثة
البعض	جذر	بعض
البعيدة	جذر	بعيد
البلاد	جذر	بلاد
البلد	جذر	بلد
البلدان	جذر	بلد;بلدان
البلديات	جذر	بلد;بلدي
البلشفية	جذر	بلشفي;بلشفية;بلشف;بلشفة
البليدة	جذر	بليد
البناء	جذر	بناء
البنكي	جذر	بنك
البنوك	جذر	بنوك
البورجوازية	جذر	بورجوازي;بورجوازية
البوسنة	جذر	بوسنة
البوليفي	جذر	بوليفي
البيت	جذر	بيت
البيض	جذر	بيض
التأثير	جذر	تأثير
التأكد	جذر	تأكد
التألق	جذر	تألق
التأمل	جذر	تأمل
التأهل	جذر	تأهل
التاريخ	جذر	تاريخ
التاسع	جذر	تاسع
التافهة	جذر	تافه
التالي	جذر	تالي
التايم	جذر	تايم
التبرعات	جذر	تبرع
التتويج	جذر	تتويج
التجارة	جذر	تجارة;تجار
التجارية	جذر	تجاري;تجارة;تجار
التجربة	جذر	تجربة
التجمعات	جذر	تجمع
التجميل	جذر	تجميل
التحالف	جذر	تحالف
التحدي	جذر	تحدي
التحديد	جذر	تحديد
التحركات	جذر	تحرك
التحرير	جذر	تحرير
التحضير	جذر	تحضير
التحفة	جذر	تحف;تحفة
التحق	جذر	التحق
التحقيق	جذر	تحقيق
التحكم	جذر	التحى;تحكم
التحكيم	جذر	تحكيم
التخوف	جذر	تخوف
التدخل	جذر	تدخل
التدقيق	جذر	تدقيق
التذكر	جذر	تذكر
التذكير	جذر	تذكير
التراجع	جذر	تراجع
التربية	جذر	تربي;تربة;تربية;ترب
الترجيح	جذر	ترجيح
الترشح	جذر	ترشح
التركي	جذر	ترك;تركة
الترهيب	جذر	ترهيب
التريث	جذر	تريث
التسبب	جذر	تسبب
التسعين	جذر	تسع
التسعينات	جذر	تسعين
التسعينيات	جذر	تسعين;تسعيني
التسلسلي	جذر	تسلسل
التسويق	جذر	تسويق
التشابهات	جذر	تشابه
التشكل	جذر	تشكل
التشكيليين	جذر	تشكيلي
التصديق	جذر	تصديق
التصرف	جذر	تصرف
التصريح	جذر	تصريح
التصعيد	جذر	تصعيد
التصنيع	جذر	تصنيع
التصوف	جذر	تصوف
التصويت	جذر	تصويت
التضامن	جذر	تضامن
التطبيق	جذر	تطبيق
التعاطي	جذر	تعاطي
التعاقد	جذر	تعاقد
التعامل	جذر	تعامل
التعاون	جذر	تعاون
التعبير	جذر	تعبير
التعذيب	جذر	تعذيب
التعليق	جذر	تعليق
