word	root	stem	root_kb
استخدامهن	خدم	استخدامهن	خدم
الإنعكاسات	عكس	الإنعكاسات	عكس
والرسائل	رسل	والرسائل	رسل
مذكر	ذكر	مذكر	ذكر
العوايشة	عيش	العوايشة	عيش
باحدث	حدث	باحدث	حدث
التصويت	صوت	التصويت	صوت
الملكية	ملك	الملكية	ملك
محركان	حرك	محركان	حرك
التوحد	وحد	التوحد	وحد
جثامين	جثم	جثامين	جثم
والدارسات	درس	والدارسات	درس
الغسلج	غسلج	الغسلج	غسلج
بالتعامل	عمل	بالتعامل	عمل
ملكيتهما	ملك	ملكيتهما	ملك
ظمان	ظمء	ظمان	ظمء
احتياطية	حوط	احتياطية	حوط
والدولية	دول	والدولية	دول
لبطاريات		لبطاريات	
التصاميم	صمم	التصاميم	صمم
لغتهن	لغة	لغتهن	لغة
والمحركون	حرك	والمحركون	حرك
غيبوب	غيب	غيبوب	غيب
مبتلئ	بلي	مبتلئ	بلي
عرباتهن	عرب	عرباتهن	عرب
والتصميم	صمم	والتصميم	صمم
المحللون	حلل	المحللون	حلل
محركات	حرك	محركات	حرك
اليآسة	يئس	اليآسة	يئس
التثبيت	ثبت	التثبيت	ثبت
الراجعين	رجع	الراجعين	رجع
والتغطيه	غطي	والتغطيه	غطي
للمدونات	دون	للمدونات	دون
والمتطرفين	طرف	والمتطرفين	طرف
معيشا	عيش	معيشا	عيش
روابطكن	ربط	روابطكن	ربط
المختصين	خصص	المختصين	خصص
السريرية	سرر	السريرية	سرر
محللات	حلل	محللات	حلل
الصباحية	صبح	الصباحية	صبح
والصائغة	صوغ	والصائغة	صوغ
لمتتبعين	تبع	لمتتبعين	تبع
محللان	حلل	محللان	حلل
والتعاطي	عطي	والتعاطي	عطي
إستمعا	سمع	إستمعا	سمع
التحتية	تحت	التحتية	تحت
والصاغة	صوغ	والصاغة	صوغ
مسابقتهن	سبق	مسابقتهن	سبق
والناقلين	نقل	والناقلين	نقل
والتنفيذية	نفذ	والتنفيذية	نفذ
دخولهن	دخل	دخولهن	دخل
الثنائية	ثنء	الثنائية	ثنء
التفاصيل	فصل	التفاصيل	فصل
الدولتين	دول	الدولتين	دول
الدعاء	دعو	الدعاء	دعو
والنمطية	نمط	والنمطية	نمط
إقسموا	قسم	إقسموا	قسم
تقنياتها	قني	تقنياتها	قني
منان	منن	منان	منن
سيربحون	ربح	سيربحون	ربح
القى	لقي	القى	لقي
والتفاعل	فعل	والتفاعل	فعل
وتشفيرها	شفر	وتشفيرها	شفر
الإئتمان	ءمن	الإئتمان	ءمن
تأخرن	ءخر	تأخرن	ءخر
التراب	ترب	التراب	ترب
الناقلات	نقل	الناقلات	نقل
والروابط	ربط	والروابط	ربط
المهنية	مهن	المهنية	مهن
متيبس	يبس	متيبس	يبس
والرابطان	ربط	والرابطان	ربط
مكتوي	كوي	مكتوي	كوي
أستغلوا	غل	أستغلوا	غل
التأشيرة	شير	التأشيرة	شير
سالكوا	سلك	سالكوا	سلك
المؤثرات	ءثر	المؤثرات	ءثر
المتطورة	طور	المتطورة	طور
النابغين	نبغ	النابغين	نبغ
بمواصفات	وصف	بمواصفات	وصف
المطورين	طور	المطورين	طور
الصحابيون	صحب	الصحابيون	صحب
ادباء	ءدب	ادباء	ءدب
تأخرت	ءخر	تأخرت	ءخر
استغاثهن	غوث	استغاثهن	غوث
مجرب	جرب	مجرب	جرب
الناقلتان	نقل	الناقلتان	نقل
والتقارير	قرر	والتقارير	قرر
الافتراضية	فرض	الافتراضية	فرض
الراجع	رجع	الراجع	رجع
الناقلان	نقل	الناقلان	نقل
والاخبار	خبر	والاخبار	خبر
والعمال	عمل	والعمال	عمل
الصائغات	صوغ	الصائغات	صوغ
مصتحبات	صحب	مصتحبات	صحب
بالسهولة	سهل	بالسهولة	سهل
احترازية	حرز	احترازية	حرز
قحربة	قحرب	قحربة	قحرب
والأجنبية	جنب	والأجنبية	جنب
والرابط	ربط	والرابط	ربط
مصتحب	صحب	مصتحب	صحب
اكرومة	كرم	اكرومة	كرم
البثاء	بني	البثاء	بني
النداء	ندو	النداء	ندو
المسوحات	سوح	المسوحات	سوح
يربحون	ربح	يربحون	ربح
الاستشارية	شور	الاستشارية	شور
بالاتصال	وصل	بالاتصال	وصل
المحللين	حلل	المحللين	حلل
اصطحبهن	صحب	اصطحبهن	صحب
التاريخيون	ءرخ	التاريخيون	ءرخ
ربحكن	ربح	ربحكن	ربح
الراغبين	رغب	الراغبين	رغب
والثغرات	ثغر	والثغرات	ثغر
الرابطة	ربط	الرابطة	ربط
وتأهيلهن	ءهل	وتأهيلهن	ءهل
وتأهيلهم	ءهل	وتأهيلهم	ءهل
بأمكانية	مكن	بأمكانية	مكن
البطارية		البطارية	
المصممون	صمم	المصممون	صمم
الاجمالي	جمل	الاجمالي	جمل
تربح	ربح	تربح	ربح
المقننين	قنن	المقننين	قنن
والمؤلفين	ءلف	والمؤلفين	ءلف
إستغلتها	غلل	إستغلتها	غلل
الرسوميه	رسم	الرسوميه	رسم
بالتجانس	جنس	بالتجانس	جنس
بالافتراضية	فرض	بالافتراضية	فرض
التوتر	وتر	التوتر	وتر
الشخصيات	شخص	الشخصيات	شخص
الناقلين	نقل	الناقلين	نقل
والتأثيرات	ءثر	والتأثيرات	ءثر
المقنؤة	قنء	المقنؤة	قنء
التطفلية	طفل	التطفلية	طفل
يتحسن	حسن	يتحسن	حسن
السقاء	سقي	السقاء	سقي
متحري	حري	متحري	حري
الاسلامية	سلم	الاسلامية	سلم
وصلاء	وصل	وصلاء	وصل
مسدسات	سدس	مسدسات	سدس
والنتائج	نتج	والنتائج	نتج
مذكرتين	ذكر	مذكرتين	ذكر
ثوار	ثور	ثوار	ثور
مسؤولية	سءل	مسؤولية	سءل
متأدب	ءدب	متأدب	ءدب
باحلال	حلل	باحلال	حلل
فإستمروا	مرر	فإستمروا	مرر
بالعربي	عرب	بالعربي	عرب
أفكارهن	فكر	أفكارهن	فكر
اللاجئين	لجء	اللاجئين	لجء
والتعبير	عبر	والتعبير	عبر
الإقتباس	قبس	الإقتباس	قبس
الجمهوري	جمهر	الجمهوري	جمهر
متعددتين	عدد	متعددتين	عدد
الإكتساب	كسب	الإكتساب	كسب
الذاهبون	ذهب	الذاهبون	ذهب
إستحلف	حلف	إستحلف	حلف
والسماعة	سمع	والسماعة	سمع
الأفارقة	فرق	الأفارقة	فرق
كالدمية	دمي	كالدمية	دمي
والمتميز	ميز	والمتميز	ميز
متحدة	وحد	متحدة	وحد
إستقامتهن	قوم	إستقامتهن	قوم
وظيفتيهما	وظف	وظيفتيهما	وظف
الأحادية	ءحد	الأحادية	ءحد
والمؤسسية	ءسس	والمؤسسية	ءسس
الثمانينات	ثمن	الثمانينات	ثمن
الذروة	ذرو	الذروة	ذرو
المفتشات	فتش	المفتشات	فتش
الافتراضي	فرض	الافتراضي	فرض
والسياسيون	سوس	والسياسيون	سوس
مؤسسة	ءسس	مؤسسة	ءسس
المذكرات	ذكر	المذكرات	ذكر
والمؤسسين	ءسس	والمؤسسين	ءسس
وقناعاتهن	قنع	وقناعاتهن	قنع
التدريبي	درب	التدريبي	درب
التنقيب	نقب	التنقيب	نقب
وإقتصادياتهم	قصد	وإقتصادياتهم	قصد
وإقتصادياتهن	قصد	وإقتصادياتهن	قصد
متألف	ءلف	متألف	ءلف
يتمرنون	مرن	يتمرنون	مرن
الإسلامية	سلم	الإسلامية	سلم
وادعاءات	دعي	وادعاءات	دعي
ماصر	مصر	ماصر	مصر
إخلع	خلع	إخلع	خلع
مصلى	صلو	مصلى	صلو
أمآق	مءق	أمآق	مءق
ستستمران	مرر	ستستمران	مرر
ادواء	دوي	ادواء	دوي
الإتفاقات	وفق	الإتفاقات	وفق
حملهن	حمل	حملهن	حمل
متعلقتين	علق	متعلقتين	علق
والدوائر	دور	والدوائر	دور
الطالبين	طلب	الطالبين	طلب
المهمه	مهه	المهمه	مهه
والمؤلفة	ءلف	والمؤلفة	ءلف
بالصابون	صبن	بالصابون	صبن
بالتعطيل	عطل	بالتعطيل	عطل
فتزول	زول	فتزول	زول
مضماض	مضض	مضماض	مضض
فيتشهد	شهد	فيتشهد	شهد
جناء	جني	جناء	جني
الراحل	رحل	الراحل	رحل
جنات	جني	جنات	جني
مساح	مسح	مساح	مسح
الاتحادي	وحد	الاتحادي	وحد
متحرك	حرك	متحرك	حرك
اولمخلوقان	خلق	اولمخلوقان	خلق
الصبغه	صبغ	الصبغه	صبغ
للمدونين	دون	للمدونين	دون
والابلاغ	بلغ	والابلاغ	بلغ
الشبهات	شبه	الشبهات	شبه
بالتطور	طور	بالتطور	طور
حياتهن	حيي	حياتهن	حيي
اختراقية	خرق	اختراقية	خرق
إرتباطا	ربط	إرتباطا	ربط
السلوكية	سلك	السلوكية	سلك
وتحركاتهم	حرك	وتحركاتهم	حرك
والتابعة	تبع	والتابعة	تبع
وإستكشافاتهم	كشف	وإستكشافاتهم	كشف
وإستكشافاتهن	كشف	وإستكشافاتهن	كشف
إنعقدت	عقد	إنعقدت	عقد
والخليجية	خلج	والخليجية	خلج
القنصلية	قنصل	القنصلية	قنصل
الاستهلاكي	هلك	الاستهلاكي	هلك
والذاهبين	ذهب	والذاهبين	ذهب
اخفاقه	خفق	اخفاقه	خفق
الإحتكار	حكر	الإحتكار	حكر
والمتخصص	خصص	والمتخصص	خصص
استنأنف	ءنف	استنأنف	ءنف
الراحلون	رحل	الراحلون	رحل
متعدد	عدد	متعدد	عدد
نوادي	ندي	نوادي	ندي
المتطرفة	طرف	المتطرفة	طرف
مرات	مرر	مرات	مرر
الزيارات	زور	الزيارات	زور
بالثوابت	ثبت	بالثوابت	ثبت
الرابطان	ربط	الرابطان	ربط
الرئيسية	رئس	الرئيسية	رئس
المنظمون	نظم	المنظمون	نظم
مطمئنا	طمء	مطمئنا	طمء
السلطات	سلط	السلطات	سلط
ستصحبا	صحب	ستصحبا	صحب
الواقعية	وقع	الواقعية	وقع
والسياسيات	سوس	والسياسيات	سوس
تذكرنهن	ذكر	تذكرنهن	ذكر
الإدارية	دور	الإدارية	دور
بالتحديد	حدد	بالتحديد	حدد
والتسجيل	سجل	والتسجيل	سجل
الزيارتان	زور	الزيارتان	زور
مسترخي	رخي	مسترخي	رخي
المحركين	حرك	المحركين	حرك
والسيطرة	سطر	والسيطرة	سطر
والمؤهلات	ءهل	والمؤهلات	ءهل
والمتملك	ملك	والمتملك	ملك
والإحتكاريات	حكر	والإحتكاريات	حكر
التمحيص	محص	التمحيص	محص
إرجعن	رجع	إرجعن	رجع
الإقليمية	قلم	الإقليمية	قلم
إسئل	سءل	إسئل	سءل
للمتسلل	سلل	للمتسلل	سلل
الزلزلة	زلزل	الزلزلة	زلزل
رجوعهن	رجع	رجوعهن	رجع
بالاطلاع	طلع	بالاطلاع	طلع
بالتفاعل	فعل	بالتفاعل	فعل
إيجابيين	وجب	إيجابيين	وجب
والاجتماعي	جمع	والاجتماعي	جمع
صحابيون	صحب	صحابيون	صحب
إرتبطان	ربط	إرتبطان	ربط
الجاهزية	جهز	الجاهزية	جهز
تصاميمهن	صمم	تصاميمهن	صمم
سيعلما	علم	سيعلما	علم
التحاويل	حول	التحاويل	حول
استهل	هلَ	استهل	هلَ
ماتفكرون	فكر	ماتفكرون	فكر
سيرجعا	رجع	سيرجعا	رجع
إسجدن	سجد	إسجدن	سجد
التقليدي	قلد	التقليدي	قلد
وسيحرمونهن	حرم	وسيحرمونهن	حرم
فاصاب	صوب	فاصاب	صوب
متطرف	طرف	متطرف	طرف
السابقة	سبق	السابقة	سبق
إرجعا	رجع	إرجعا	رجع
التقديمي	قدم	التقديمي	قدم
المكتبية	كتب	المكتبية	كتب
متآخون	آخي	متآخون	آخي
يتوتران	وتر	يتوتران	وتر
لانهائية	نهي	لانهائية	نهي
بالسابعة	سبع	بالسابعة	سبع
يتضمنها	ضمن	يتضمنها	ضمن
حفرهن	حفر	حفرهن	حفر
الصناعية	صنع	الصناعية	صنع
اعلنت	علن	اعلنت	علن
مراعاه	مرع	مراعاه	مرع
محوسبة	حسب	محوسبة	حسب
وتحدياتها	حدي	وتحدياتها	حدي
التعزيزات	عزز	التعزيزات	عزز
الأدلة	دل	الأدلة	دل
والناقلتين	نقل	والناقلتين	نقل
ممولون	مول	ممولون	مول
المرشحين	رشح	المرشحين	رشح
الشهرية	شهر	الشهرية	شهر
ومحركات	حرك	ومحركات	حرك
مبيض	بيض	مبيض	بيض
والتقنية	قني	والتقنية	قني
والإخباري	خبر	والإخباري	خبر
وإستمراريتهم	مرر	وإستمراريتهم	مرر
وإستمراريتهن	مرر	وإستمراريتهن	مرر
والحركية	حرك	والحركية	حرك
يرسلناها	رسل	يرسلناها	رسل
ركبتيك	ركب	ركبتيك	ركب
مدرس	درس	مدرس	درس
الراحلات	رحل	الراحلات	رحل
اسبوع	سبع	اسبوع	سبع
والمدونات	دون	والمدونات	دون
الصالحون	صلح	الصالحون	صلح
والصياغة	صوغ	والصياغة	صوغ
الثقافية	ثقف	الثقافية	ثقف
المتبدل	بدل	المتبدل	بدل
متوحد	وحد	متوحد	وحد
اصدقاءهم	صدق	اصدقاءهم	صدق
كالصحابي	صحب	كالصحابي	صحب
والطابعات	طبع	والطابعات	طبع
الرئاسية	رئس	الرئاسية	رئس
التمييز	ميز	التمييز	ميز
بالذاكرة	ذكر	بالذاكرة	ذكر
للإنترنت		للإنترنت	
والعسكري	عسكر	والعسكري	عسكر
إلتزامها	لزم	إلتزامها	لزم
متصلون	وصل	متصلون	وصل
المتفرعة	فرع	المتفرعة	فرع
فاستحقاقاتهن	حقق	فاستحقاقاتهن	حقق
يتمرنن	مرن	يتمرنن	مرن
التعليم	علم	التعليم	علم
تسدية	سدو	تسدية	سدو
وآرائهن	رءي	وآرائهن	رءي
والترسانة		والترسانة	
الغذائية	غذي	الغذائية	غذي
ضافي	ضفي	ضافي	ضفي
تربحن	ربح	تربحن	ربح
نطناط	نطط	نطناط	نطط
الثانوية	ثني	الثانوية	ثني
واستخداماتهن	خدم	واستخداماتهن	خدم
والدراسات	درس	والدراسات	درس
الثلاثية	ثلث	الثلاثية	ثلث
والساجدان	سجد	والساجدان	سجد
ماسط	مسط	ماسط	مسط
اخطاء	خطء	اخطاء	خطء
فافتضى	قضي	فافتضى	قضي
سيارات	سير	سيارات	سير
الغالبية	غلب	الغالبية	غلب
والمحللان	حلل	والمحللان	حلل
رعاء	رعي	رعاء	رعي
المدونين	دون	المدونين	دون
العمودية	عمد	العمودية	عمد
روابطهن	ربط	روابطهن	ربط
الرابطين	ربط	الرابطين	ربط
المركزي	ركز	المركزي	ركز
بالتشويش	شوش	بالتشويش	شوش
والارقام	رقم	والارقام	رقم
القتالية	قتل	القتالية	قتل
والمحللات	حلل	والمحللات	حلل
والمعتاشة	عيش	والمعتاشة	عيش
المتدفقة	دفق	المتدفقة	دفق
والصائغ	صوغ	والصائغ	صوغ
استماز	ميز	استماز	ميز
المتحركة	حرك	المتحركة	حرك
منادي	ندي	منادي	ندي
تعلمكن	علم	تعلمكن	علم
والساجدات	سجد	والساجدات	سجد
بالسياسة	سوس	بالسياسة	سوس
والمرطبات	رطب	والمرطبات	رطب
سيتعرضون	عرض	سيتعرضون	عرض
يتملك	ملك	يتملك	ملك
إخلعوا	خلع	إخلعوا	خلع
إستخدامهن	خدم	إستخدامهن	خدم
للثروات	ثري	للثروات	ثري
الإلتقاء	لقي	الإلتقاء	لقي
يبعثرهن	بعثر	يبعثرهن	بعثر
للتصفح	صفح	للتصفح	صفح
الطابعات	طبع	الطابعات	طبع
الساجدات	سجد	الساجدات	سجد
اهتمامهن	همم	اهتمامهن	همم
قحطبة	قحطب	قحطبة	قحطب
صحته	صحح	صحته	صحح
مرتشي	رشي	مرتشي	رشي
والناقلة	نقل	والناقلة	نقل
الساجدان	سجد	الساجدان	سجد
الشرعية	شرع	الشرعية	شرع
مبني	بني	مبني	بني
المجلدات	جلد	المجلدات	جلد
الناقل	نقل	الناقل	نقل
يعلمونهن	علم	يعلمونهن	علم
والانجازات	نجز	والانجازات	نجز
والتنقيب	نقب	والتنقيب	نقب
الأسون	ءسي	الأسون	ءسي
التصحيحات	صحح	التصحيحات	صحح
إستكشافاتهم	كشف	إستكشافاتهم	كشف
