word	root	stem	lemma
مسابقتان	سبق	مسابق;مسابقة	مسابق;مسابقة
يعملون	عمل	عمل;أعمل	عمل;أعمل
أذواقهم	ذوق	ذواق	ذواق
حفركما	حفر	حفر	حفر
والمسؤول	سءل	مسؤول	مسؤول
مهندسيها	هندس	مهندس	مهندس
احتجزتهم	حجز	احتجز	احتجز
المشغلات	شغل	مشغل	مشغل
المطلوبون	طلب	مطلوب	مطلوب
حاملة	حمل	حامل	حامل
تسمعان	سمع	أسمع;سمع	أسمع;سمع
دحرجة	دحرج	دحرجة	دحرجة
يشكلون	شكل	شكل;أشكل	شكل;أشكل
كتابات	كتب	كتابة;كتاب	كتابة;كتاب
المستقبل	قبل	مستقبل	مستقبل
تحظر	حظر	حظر	حظر
مبدأ	بدء	مبدأ	مبدأ
للاهتمام	همم	اهتمام	اهتمام
ريحان	روح	ريحان;ريح	ريحان;ريح
للاستشارات	شور	استشارة	استشارة
وتحديثات	حدث	تحديث	تحديث
يفتدون	فدي	افتدى	افتدى
راعية	رعي	راعي	راعي
الباكيات	بكي	باكي	باكي
دليلان	دلل	دليل	دليل
تطويرهما	طور	تطوير	تطوير
وديعه	ودع	وديع	وديع
والمحرم	حرم	محرم	محرم
فتحهم	فتح	فتح	فتح
الباكين	بكي	باكي	باكي
تفسيرات	فسر	تفسيرات;تفسير	تفسيرات;تفسير
حقوق	حقق	حقوق	حقوق
يرسلان	رسل	أرسل;رسل	أرسل;رسل
والعارفان	عرف	عارف	عارف
جدول	جدل	جدول	جدول
والمطلوبين	طلب	مطلوب	مطلوب
والمنشغلون	شغل	منشغل	منشغل
ذهبت	ذهب	ذهب	ذهب
سجدوا	سجد	سجد	سجد
لاستعراض	عرض	استعراض	استعراض
ترجعن	رجع	أرجع;رجع	أرجع;رجع
استشفاء	شفي	استشفاء	استشفاء
أجهزتهم	جهز	أجهزة;جهزة	أجهزة;جهزة
انهيار	هور	انهيار	انهيار
عاملان	عمل	عامل	عامل
والميزانيات	وزن	ميزان	ميزان
صباغين	صبغ	صباغ	صباغ
فهزم	هزم	هزم	هزم
يكتبون	كتب	أكتب;كتب	أكتب;كتب
تعلما	علم	علم;أعلم	علم;أعلم
والمترابط	ربط	مترابط	مترابط
مودعون	ودع	مودع	مودع
ذهبن	ذهب	ذهب	ذهب
والموجودة	وجد	موجود	موجود
فيقطع	قطع	قطع;أقطع	قطع;أقطع
بالإمكان	مكن	إمكان	إمكان
تعقدان	عقد	أعقد;عقد	أعقد;عقد
أدعية	دعو	أدعية	أدعية
والمأمونة	ءمن	مأمون	مأمون
فتحصيل	حصل	تحصيل	تحصيل
تجهد	جهد	أجهد;جهد	أجهد;جهد
ومضمونها	ضمن	مضمون	مضمون
رائع	روع	رائع	رائع
يصلون	صلي;وصل;صلو	صلي;وصل;صلى;أصلى;صلا	صلي;وصل;صلى;أصلى;صلا
لاستخدامها	خدم	استخدام	استخدام
والعارفون	عرف	عارف	عارف
عاملات	عمل	عامل	عامل
ترجعان	رجع	أرجع;رجع	أرجع;رجع
رسالة	رسل	رسالة	رسالة
الانهيارات	هور	انهيار	انهيار
والاستقرار	قرر	استقرار	استقرار
كاستجابة	جوب	استجابة	استجابة
المشكلة	شكل	مشكل	مشكل
أنيقة	ءنق	أنيق	أنيق
جهازه	جهز	جهاز	جهاز
اقتصادي	قصد	اقتصاد	اقتصاد
وكلاء	وكل	وكلاء	وكلاء
الأمير	ءمر	أمير	أمير
والأديان	دين	أديان	أديان
وتقريبها	قرب	تقريب	تقريب
صياغته	صوغ	صياغة	صياغة
والاستخبارات	خبر	استخبار	استخبار
فتحتم	حتم;تيح;توح;فتح;حمي	حتم;فتح;تاح;احتمى	حتم;فتح;تاح;احتمى
فتحتن	فتح	فتح	فتح
سيسجد	سجد	سجد	سجد
لاستيعاب	وعب	استيعاب	استيعاب
انشق	شقق	انشق	انشق
المسابقتين	سبق	مسابق;مسابقة	مسابق;مسابقة
ربط	ربط	ربط	ربط
ستحرك	حرك	حرك	حرك
والخرائط	خرط	خرائط	خرائط
والمصطلحات	صلح	مصطلح	مصطلح
منادون	ندو	منادي	منادي
قذارة	قذر	قذارة	قذارة
القائمين	قوم	قائم	قائم
تمنع	منع	منع	منع
موهوب	وهب	موهوب	موهوب
والعربتين	عرب	عرب;عربة	عرب;عربة
صفوة	صفو	صفو;صفوة	صفو;صفوة
ويمكنك	مكن	أمكن	أمكن
وهجان	وهج;هجن	وهج;هجان;وهجان	وهج;هجان;وهجان
معرقل	عرقل	معرقل	معرقل
فبطل	بطل	بطل	بطل
جراء	جرو	جراء	جراء
غنائم	غنم	غنائم	غنائم
يرسلونهم	رسل	أرسل	أرسل
باكيات	بكي	باكي	باكي
الاكتراث	كرث	اكتراث	اكتراث
للمنافسين	نفس	منافس	منافس
عشيرة	عشر	عشيرة;عشير	عشيرة;عشير
يصدرن	صدر	صدر;أصدر	صدر;أصدر
أنقلهما	نقل	أنقل;نقل	أنقل;نقل
والمذاهب	ذهب	مذاهب	مذاهب
البغاء	بغي	بغاء	بغاء
تخلقون	خلق	خلق	خلق
تعرفون	عرف	عرف	عرف
موات	موت	موات	موات
ألزمنا	لزم	لزم;ألزم	لزم;ألزم
منفذ	نفذ	منفذ	منفذ
سعالهم	سعل	سعال	سعال
عشوات	عشو	عشوة	عشوة
مضامينها	ضمن	مضامين	مضامين
لاحق	لحق	لاحق	لاحق
الأجور	ءجر	أجور	أجور
المستحيل	حول	مستحيل	مستحيل
المطلوبتان	طلب	مطلوب	مطلوب
والأضواء	ضوء	أضواء	أضواء
المشابهة	شبه	مشابه;مشابهة	مشابه;مشابهة
المضامين	ضمن	مضامين	مضامين
الانبهار	بهر	انبهار	انبهار
تغفر	غفر	غفر	غفر
وسيجهز	جهز	جهز;أجهز	جهز;أجهز
مدخلات	دخل	مدخل	مدخل
تجريبي	جرب	تجريب	تجريب
المصدرين	صدر	مصدر	مصدر
ستنقل	نقل	أنقل;نقل	أنقل;نقل
يلتئم	لءم	التأم	التأم
احتفالات	حفل	احتفال	احتفال
وتحتويان	حوي	احتوى	احتوى
يردهم	ورد;رود;ردي	أردى;راد;ردى;أراد;ورد	أردى;راد;ردى;أراد;ورد
همهمة	همهم	همهم;همهمة	همهم;همهمة
ذهبتا	ذهب	ذهب	ذهب
الانتظار	نظر	انتظار	انتظار
الأصباغ	صبغ	أصباغ	أصباغ
مفاتيح	فتح	مفاتيح	مفاتيح
والاختراقات	خرق	اختراق	اختراق
الجهاز	جهز	جهاز	جهاز
والجراثيم	جرثم	جراثيم	جراثيم
ناخبين	نخب	ناخب	ناخب
الجهاد	جهد	جهاد	جهاد
والمراجعين	رجع	مراجع	مراجع
مرتبطتان	ربط	مرتبط	مرتبط
إصدار	صدر	إصدار	إصدار
والمساحة	مسح	مساحة	مساحة
يطلبن	طلب	طلب	طلب
جزاء	جزي	جزاء	جزاء
حاولوا	حول	حاول	حاول
ظواهر	ظهر	ظواهر	ظواهر
رجاء	رجو	رجاء	رجاء
تسمعين	سمع	أسمع;سمع	أسمع;سمع
الاستعمال	عمل	استعمال	استعمال
واستكمالا	كمل	استكمال	استكمال
باري	بري	بارى	بارى
معطاء	عطو	معطاء	معطاء
الاعتراف	عرف	اعتراف	اعتراف
بذريعة	ذرع	ذريعة;ذريع	ذريعة;ذريع
والحكومات	حكم	حكومة	حكومة
اقسمن	قسم	قسم	قسم
يذكرون	ذكر	ذكر	ذكر
بالإضراب	ضرب	إضراب	إضراب
مرشدتان	رشد	مرشد	مرشد
اقسمي	قسم	قسم	قسم
يجاهدان	جهد	جاهد	جاهد
القوانين	قنن	قوانين	قوانين
سمعن	سمع	سمع	سمع
المتعاطفين	عطف	متعاطف	متعاطف
المجموعة	جمع	مجموع	مجموع
والوسواس	وسوس	وسواس	وسواس
الحالتين	حول	حالة;حال	حالة;حال
ضحكة	ضحك	ضحك;ضحكة	ضحك;ضحكة
مارس	مرس	مارس	مارس
الخدمات	خدم	خدمة	خدمة
المراجعتان	رجع	مراجع;مراجعة	مراجع;مراجعة
مارد	مرد	مارد	مارد
مارج	مرج	مارج	مارج
مسجدان	سجد	مسجد	مسجد
ائتمن	ءتم;ءيم;ءمن	ائتام;أتم;ائتمن	ائتام;أتم;ائتمن
يهمهم	همهم;يهم	همهم;يهم	همهم;يهم
سيرسلان	رسل	أرسل;رسل	أرسل;رسل
والمسافرة	سفر	مسافر	مسافر
الاختراقات	خرق	اختراق	اختراق
عربته	عرب	عرب;عربة	عرب;عربة
البطولة	بطل	بطولة	بطولة
والمسابقتان	سبق	مسابق;مسابقة	مسابق;مسابقة
الممنوعة	منع	ممنوع	ممنوع
واستقبال	قبل	استقبال	استقبال
استقام	قوم	استقام	استقام
مجنونات	جنن	مجنون	مجنون
العناء	عني	عناء	عناء
عوامل	عمل	عوامل	عوامل
خطوط	خطط	خطوط	خطوط
ملوحة	ملح	ملوحة	ملوحة
والمبيدات	بيد	مبيد	مبيد
المحفوظة	حفظ	محفوظ	محفوظ
والجامعات	جمع	جامع;جامعة	جامع;جامعة
واقفة	وقف	واقف	واقف
سماع	سمع	سماع	سماع
مارق	مرق	مارق	مارق
وبوسعهما	وسع	وسع	وسع
ذاهبون	ذهب	ذاهب	ذاهب
ستختلقون	خلق	اختلق	اختلق
بالمشروع	شرع	مشروع	مشروع
العمليات	عمل	عمل;عملة	عمل;عملة
تربطان	ربط	ربط	ربط
وسيطة	وسط	وسيط	وسيط
المحظورة	حظر	محظور	محظور
بالمقابل	قبل	مقابل	مقابل
ستفيض	فيض	فاض;أفاض	فاض;أفاض
فانصرف	صرف	انصرف	انصرف
والعوامل	عمل	عوامل	عوامل
والمحرومين	حرم	محروم	محروم
فتفسد	فسد	أفسد;فسد	أفسد;فسد
ميسر	يسر	ميسر	ميسر
وسواس	وسوس	وسواس	وسواس
لاستهداف	هدف	استهداف	استهداف
ومواعيده	وعد	مواعيد	مواعيد
جهلة	جهد;جهل	جهلة;جهل	جهلة;جهل
مجاج	مجج	مجاج	مجاج
جوان	جون;جني	جواني;جوان	جواني;جوان
ويستخدموا	خدم	استخدم	استخدم
لجام	جوم;لجم	لجام;جام	لجام;جام
المتظاهرات	ظهر	متظاهر	متظاهر
لجان	جون;جني;لجن	جاني;جان;لجان	جاني;جان;لجان
للمولعين	ولع	مولع	مولع
والمستهلكين	هلك	مستهلك	مستهلك
المعضلات	عضل	معضل;معضلة	معضل;معضلة
تطلبون	طلب	طلب	طلب
سائر	سير	سائر	سائر
ندرس	درس	درس	درس
كالبرامج	برمج	برامج	برامج
مطلوبون	طلب	مطلوب	مطلوب
مستمعين	سمع	مستمع	مستمع
والمرتبطة	ربط	مرتبط	مرتبط
غفران	غفر	غفران;غفر	غفران;غفر
مدبرة	دبر	مدبر	مدبر
والمرسلات	رسل	مرسل	مرسل
والحوارات	حور	حوار	حوار
أعرفن	عرف	عرف	عرف
أعرفي	عرف	عرفة;عرف;أعرف	عرفة;عرف;أعرف
فيرجع	رجع	أرجع;رجع	أرجع;رجع
وشاء	شيء;شءو;وشي	شاء;وشاء;شاءى	شاء;وشاء;شاءى
المرتبطة	ربط	مرتبط	مرتبط
يعمل	عمل	عمل;أعمل	عمل;أعمل
المساءلة	سءل	مساءلة	مساءلة
صباغتهم	صبغ	صباغة;صباغ	صباغة;صباغ
سيواصل	وصل	واصل	واصل
وبإمكانه	مكن	إمكان	إمكان
فيرجح	رجح	رجح;أرجح	رجح;أرجح
للانتخابات	نخب	انتخاب	انتخاب
المطلوبين	طلب	مطلوب	مطلوب
ماعون	معن	ماعون	ماعون
باستكمال	كمل	استكمال	استكمال
ضعاف	ضعف	ضعاف	ضعاف
تابعون	تبع	تابع	تابع
والمرسلين	رسل	مرسل	مرسل
الاختلاف	خلف	اختلاف	اختلاف
وشيك	وشك;شيك;شوك;وشي	شاك;شيك;وشي;وشيك	شاك;شيك;وشي;وشيك
المسيطرة	سيطر	مسيطر	مسيطر
علاماتهم	علم	علامة	علامة
استخدمات	خدم	استخدم	استخدم
يستوحش	وحش	استوحش	استوحش
العطاء	عطي	عطاء	عطاء
الانتشار	نشر	انتشار	انتشار
ميسم	وسم	ميسم	ميسم
وقوف	وقف	وقوف	وقوف
فالمجموعات	جمع	مجموع	مجموع
والمجموعات	جمع	مجموع	مجموع
وسادة	وسد;سود	وساد;سادة;وسادة	وساد;سادة;وسادة
المستمعون	سمع	مستمع	مستمع
إخفاقاته	خفق	إخفاق	إخفاق
خلطات	خلط	خلط	خلط
يرقصون	رقص	رقص;أرقص	رقص;أرقص
والمجاهدتان	جهد	مجاهد;مجاهدة	مجاهد;مجاهدة
يصبغ	صبغ	أصبغ;صبغ	أصبغ;صبغ
الموازنة	وزن	موازنة;موازن	موازنة;موازن
سجون	سجن;سجو	سجا;سجون	سجا;سجون
رئيسة	رءس	رئيس	رئيس
واسع	سعي;وسع	سعى;واسع	سعى;واسع
المكتشفتين	كشف	مكتشف	مكتشف
استخداماتهم	خدم	استخدام	استخدام
كتبت	كتب	كتب	كتب
وجدوا	جدي;وجد;جدو	وجد;جدى;جدا	وجد;جدى;جدا
والهمهمات	همهم	همهم;همهمة	همهم;همهمة
دومات	دوم	دوم	دوم
وسيلتهم	ولت;وسل;لهم	وسيلة;التهم;ولت	وسيلة;التهم;ولت
محفور	حفر	محفور	محفور
والفوائد	فيد	فوائد	فوائد
دراستكم	درس	دراسة	دراسة
مزرعتين	زرع	مزرعة	مزرعة
إعاقتان	عوق	إعاقة	إعاقة
داول	دول	داول	داول
تسمع	سمع	أسمع;سمع	أسمع;سمع
المشاكسة	شكس	مشاكس;مشاكسة	مشاكس;مشاكسة
والإدمان	دمن	إدمان	إدمان
اهتمامات	همم	اهتمام	اهتمام
والمسألتين	سءل	مسألة	مسألة
ستنقلون	نقل	أنقل;نقل	أنقل;نقل
منتجاتنا	نتج	منتج	منتج
القراصنة	قرصن	قراصنة	قراصنة
فيعيد	عود	أعاد	أعاد
الكثيرين	كثر	كثير	كثير
مذهبي	ذهب	مذهب	مذهب
أخلاق	خلق	أخلاق	أخلاق
والأقارب	قرب	أقارب	أقارب
يربطون	ربط	ربط	ربط
طائراتهم	طير	طائر;طائرة	طائر;طائرة
محتشمات	حشم	محتشم	محتشم
فتقدم	قدم	أقدم;قدم	أقدم;قدم
والمعلوم	علم	معلوم	معلوم
والاحتراف	حرف	احتراف	احتراف
بلورات	بلور	بلورة	بلورة
حالات	حول	حالة;حال	حالة;حال
رفاء	رفء	رفاء	رفاء
لهجماتهم	هجم	هجمة	هجمة
رسائل	رسل	رسائل	رسائل
تخلق	خلق	خلق	خلق
الخلافات	خلف	خلاف;خلافة	خلاف;خلافة
المركبات	ركب	مركبة;مركب	مركبة;مركب
فينقلب	قلب	انقلب	انقلب
رابطين	ربط	رابط	رابط
المنجزات	نجز	منجز	منجز
مستبدل	بدل	مستبدل	مستبدل
والأدوات	ءدو	أدوات	أدوات
يعرقل	عرقل	عرقل	عرقل
وسطي	ورق;وسط	وسط;وسطة	وسط;وسطة
فينوي	نوي	أنوى;نوى	أنوى;نوى
فادرك	دري	درى	درى
استخداماتها	خدم	استخدام	استخدام
مراجعون	رجع	مراجع	مراجع
يستتبع	تبع	استتبع	استتبع
ثناء	ثني	ثناء	ثناء
يملكون	ملك	ملك;أملك	ملك;أملك
وينتظرها	نظر	انتظر	انتظر
وسيمة	سوم;وسم	وسيم;سيمة	وسيم;سيمة
أنقلهم	نقل	أنقل;نقل	أنقل;نقل
المشمولة	شمل	مشمول	مشمول
ستسمعان	سمع	أسمع;سمع	أسمع;سمع
استنجى	نجو	استنجى	استنجى
العائدات	عود	عائد	عائد
فحدث	حدث	حدث	حدث
والعارف	عرف	عارف	عارف
وبكفاءات	كفء	كفاء;كفاءة	كفاء;كفاءة
عربتين	عرب	عرب;عربة	عرب;عربة
نقاوة	نقو	نقاوة	نقاوة
توجهوا	وجه	وجه;أوجه	وجه;أوجه
مزرعة	زرع	مزرعة	مزرعة
تلاوين	لون;لوي	تلاوين;تلاوى;تلاوي	تلاوين;تلاوى;تلاوي
ظهرت	ظهر	ظهر	ظهر
والمنشغلات	شغل	منشغل	منشغل
موالاة	ولي	موالاة	موالاة
مصائد	صيد	مصائد	مصائد
سيرسلون	رسل	أرسل;رسل	أرسل;رسل
مغامرات	غمر	مغامر;مغامرة	مغامر;مغامرة
الحقائق	جقق;حقق	حقائق	حقائق
والممنوعة	منع	ممنوع	ممنوع
والمساهمين	سهم	مساهم	مساهم
اختبارها	خبر	اختبار	اختبار
سيحمل	حمل	حمل	حمل
بالوكالة	وكل	وكالة	وكالة
شربوا	شرب	شرب	شرب
شربا	شرب	شرب	شرب
بالإحباط	حبط	إحباط	إحباط
المصدران	صدر	مصدر	مصدر
متفائلين	فءل	متفائل	متفائل
فيزداد	زود;زيد	ازداد	ازداد
الأمين	ءمن	أمين	أمين
والحاملة	حمل	حامل	حامل
يتركان	ترك	ترك	ترك
الباحثتان	بحث	باحث	باحث
يوسوسون	وسوس	وسوس	وسوس
محاق	محق	محاق	محاق
مرأى	رءي	مرأى	مرأى
عرقلة	عرقل	عرقلة	عرقلة
ذبيحة	ذبح	ذبيحة;ذبيح	ذبيحة;ذبيح
شربن	شرب	شرب	شرب
طائرات	طير	طائر;طائرة	طائر;طائرة
أجهزة	جهز	أجهزة;جهزة	أجهزة;جهزة
المحاولة	حول	محاولة;محاول	محاولة;محاول
المشارب	شرب	مشارب	مشارب
المبتهجين	بهج	مبتهج	مبتهج
ساجد	سجد	ساجد	ساجد
عائلات	عول	عائل	عائل
المطالبات	طلب	مطالب;مطالبة	مطالب;مطالبة
العربة	عرب	عرب;عربة	عرب;عربة
والمواصفات	وصف	مواصفة	مواصفة
والمرسلة	رسل	مرسل	مرسل
صائغون	صوغ	صائغ	صائغ
المتعاملين	عمل	متعامل	متعامل
الوزراء	وزر	وزراء	وزراء
علميكما	علم	علم;علمة	علم;علمة
فعاليتها	فعل	فعال	فعال
خسائر	خسر	خسائر	خسائر
وتأثيرها	ءثر	تأثير	تأثير
يراعوا	روع;رعي	أراع;راعى;راع	أراع;راعى;راع
والمنشغلان	شغل	منشغل	منشغل
مجاهدتين	جهد	مجاهد;مجاهدة	مجاهد;مجاهدة
مرسلات	رسل	مرسل	مرسل
مساجد	سجد	مساجد	مساجد
والمراسلات	رسل	مراسل;مراسلة	مراسل;مراسلة
للاشتراك	شرك	اشتراك	اشتراك
تنجلي	جلي;نجل	أنجل;انجلى;نجل	أنجل;انجلى;نجل
محاسبة	حسب	محاسب;محاسبة	محاسب;محاسبة
مبيعات	بيع	مبيع	مبيع
المحظورات	حظر	محظور	محظور
بلغاء	بلغ	بلغاء	بلغاء
معرقلات	عرقل	معرقل	معرقل
المنحرفة	حرف	منحرف	منحرف
الباحثون	بحث	باحث	باحث
والمحفوظات	حفظ	محفوظ	محفوظ
وعملائها	عمل	عملاء	عملاء
المنظورة	نظر	منظور	منظور
وقور	قور;وقر	قور;وقور	قور;وقور
يشرب	شرب	شرب;أشرب	شرب;أشرب
والانكشاف	كشف	انكشاف	انكشاف
بهاء	بهو	بهاء	بهاء
الممنوعات	منع	ممنوع	ممنوع
مصرعه	صرع	مصرع	مصرع
وقوع	وقع	وقوع	وقوع
بالمنطقة	نطق	منطق;منطقة	منطق;منطقة
المجاهدتين	جهد	مجاهد;مجاهدة	مجاهد;مجاهدة
الإشكاليات	شكل	إشكال	إشكال
الاكتشاف	كشف	اكتشاف	اكتشاف
صنوان	صنو	صنو;صنوان	صنو;صنوان
صياغتها	صوغ	صياغة	صياغة
المنصرمة	صرم	منصرم	منصرم
والانتشار	نشر	انتشار	انتشار
والمواطنون	وطن	مواطن	مواطن
والأرباح	ربح	أرباح	أرباح
مشهورة	شهر	مشهور	مشهور
تذكرتين	ذكر	تذكرة	تذكرة
والمحمول	حمل	محمول	محمول
أجنة	جني	أجن	أجن
وتتناولها	نول	تناول	تناول
اعترافهم	عرف	اعتراف	اعتراف
المرفقات	رفق	مرفقة;مرفق	مرفقة;مرفق
المختطفين	خطف	مختطف	مختطف
يعيش	عيش	أعاش	أعاش
سيوفهم	سيف	سيوف	سيوف
متباينات	بين	متباين	متباين
يزرن	زور;وزر;زير	زار;وزر	زار;وزر
سترجعون	رجع	أرجع;رجع	أرجع;رجع
البعثرة	بعثر	بعثر;بعثرة	بعثر;بعثرة
بطاقاتهم	بطق;طوق	بطاقة;طاقة	بطاقة;طاقة
مزاح	مزح	مزاح	مزاح
إشكاليات	شكل	إشكال	إشكال
سيرجع	رجع	أرجع;رجع	أرجع;رجع
خزائن	خزن	خزائن	خزائن
سمعتا	سمع	سمع	سمع
والإنقاذ	نقذ	إنقاذ	إنقاذ
زاروا	زور;زير	زار	زار
الانقطاع	قطع	انقطاع	انقطاع
الجديدان	جدد	جديد	جديد
والمسؤولين	سءل	مسؤول	مسؤول
فاستيقظ	يقظ	استيقظ	استيقظ
زائلة	زول	زائل	زائل
الأمور	ءمر	أمور	أمور
تدل	دلو;دول;ودل	دال;ودل;دلا;أدلى	دال;ودل;دلا;أدلى
فيستوي	سوي	استوى	استوى
ترسلان	رسل	أرسل;رسل	أرسل;رسل
تزر	زور;وزر;زري;زير	زار;وزر;أزرى;زرى	زار;وزر;أزرى;زرى
بزملائهم	زمل	زملاء	زملاء
وإخباريا	خبر	إخبار	إخبار
محتوياته	حوي	محتوى;محتويات	محتوى;محتويات
ترتبط	ربط	ارتبط	ارتبط
مثقال	ثقل	مثقال	مثقال
والمطلوبون	طلب	مطلوب	مطلوب
وصفيه	وصف	صفة;وصف;وصفة	صفة;وصف;وصفة
موسيقيين		موسيقى	موسيقى
الحياء	حيي	حياء	حياء
ألعاب	لعب	ألعاب;لعاب	ألعاب;لعاب
نفتح	فتح	فتح	فتح
وترتبطان	ربط	ارتبط	ارتبط
المرجوعات	رجع	مرجوع	مرجوع
مهاراتهم	مهر	مهارة	مهارة
مباني	بني	مبان	مبان
وميضه	ومض	وميض	وميض
أديب	ءدب	أديب	أديب
المطالبة	طلب	مطالب;مطالبة	مطالب;مطالبة
المتوافق	وفق	متوافق	متوافق
متواجد	وجد	متواجد	متواجد
عشواء	عشو	عشواء	عشواء
الارتعاش	رعش	ارتعاش	ارتعاش
الهجرة	هجر	هجر;هجرة	هجر;هجرة
استطرد	طرد	استطرد	استطرد
مفاوضات	فوض	مفاوض;مفاوضة	مفاوض;مفاوضة
الاحتلال	حلل	احتلال	احتلال
المحمول	حمل	محمول	محمول
عاشق	عشق	عاشق	عاشق
موصول	وصل	موصول	موصول
مسابقة	سبق	مسابق;مسابقة	مسابق;مسابقة
المقترنة	قرن	مقترن	مقترن
المبادرة	بدر	مبادرة;مبادر	مبادرة;مبادر
مذاق	ذوق	مذاق	مذاق
يملكان	ملك	ملك;أملك	ملك;أملك
يصلين	صلي;صلو	صلي;صلى;أصلى;صلا	صلي;صلى;أصلى;صلا
بالإشارة	شور	إشارة	إشارة
الإعاقة	عوق	إعاقة	إعاقة
تبران	تبر	تبر	تبر
جوامع	جمع	جوامع	جوامع
حديدي	حدد	حديد;حديدة	حديد;حديدة
ومجموعات	جمع	مجموع	مجموع
صاغة	صرع	صاغة	صاغة
زرتم	زور;زير	زار	زار
تناسق	نسق	ناسق;تناسق	ناسق;تناسق
والحقيقة	حقق	حقيق;حقيقة	حقيق;حقيقة
المختلفة	خلف	مختلف	مختلف
الوكالات	وكل	وكالة	وكالة
تسجدان	سجد	سجد	سجد
يحملون	حمل	حمل	حمل
تمارض	مرض	تمارض	تمارض
فيدفع	دفع	دفع	دفع
المجاهدة	جهد	مجاهد;مجاهدة	مجاهد;مجاهدة
التزاماتها	لزم	التزام	التزام
أوجه	وجه;ءوج	وجه;أوج;أوجه	وجه;أوج;أوجه
مدخلاتها	دخل	مدخل	مدخل
مجان	جني	مجاني	مجاني
خسارة	خسر	خسارة	خسارة
الدنا	لدن	لدن	لدن
خيانة	خون	خيانة	خيانة
فافسد	فسد	فسد	فسد
وريد	ورد;رود	راد;وريد	راد;وريد
براهين	برهن	براهين	براهين
ينص	نوص;نيص;نصو	نصا;ناص	نصا;ناص
والملاحة	ملح	ملاحة;ملاح	ملاحة;ملاح
سيتركهم	ترك	ترك	ترك
المرسومة	رسم	مرسوم	مرسوم
استخدامهم	خدم	استخدام	استخدام
بالحماية	حمي	حماية	حماية
فيحضر	حضر	حضر;أحضر	حضر;أحضر
تحليلات	حلل	تحليل	تحليل
عربتها	عرب	عرب;عربة	عرب;عربة
للقوانين	قنن	قوانين	قوانين
ترابط	ربط	ترابط;رابط	ترابط;رابط
يزلزلهم	زلزل	زلزل	زلزل
تضحية	ضحي	تضحية	تضحية
بالقانون	قنن	قانون	قانون
مسألتان	سءل	مسألة	مسألة
فتعذر	عذر	عذر;أعذر	عذر;أعذر
تسعلن	سعل	سعل	سعل
الانتهاء	نهي	انتهاء	انتهاء
وضوء	وضء;ضوء	وضوء;ضوء	وضوء;ضوء
موطن	وطن	موطن	موطن
إكراما	كرم	إكرام	إكرام
المسافرات	سفر	مسافر	مسافر
شيطان	شيط	شيطان	شيطان
المستفاد	فيد	مستفاد	مستفاد
فينتقض	نقض	انتقض	انتقض
ناجون	نجو	ناجي	ناجي
مراقبتها	رقب	مراقبة;مراقب	مراقبة;مراقب
والمكيدة	كيد	مكيدة	مكيدة
وجدت	جدي;جود;جدو;وجد	وجد;جدى;جدا;جاد	وجد;جدى;جدا;جاد
