word	root	lemma	stem
ويؤمن	ءمن	ءامن	يؤمن
ءامنت	ءمن	ءامن	ءامن
لءامن	ءمن	ءامن	ءامن
تؤمن	ءمن	ءامن	تؤمن
يؤمن	ءمن	ءامن	يؤمن
فليؤمن	ءمن	ءامن	يؤمن
وءامن	ءمن	ءامن	ءامن
ءامنتم	ءمن	ءامن	ءامن
يؤمن	ءمن	ءامن	يؤمن
فيؤمنوا	ءمن	ءامن	يؤمن
فامن	ءمن	ءامن	امن
فامنوا	ءمن	ءامن	امن
ويؤمنون	ءمن	ءامن	يؤمن
ءامن	ءمن	ءامن	ءامن
لتؤمنوا	ءمن	ءامن	تؤمن
لتؤمنوا	ءمن	ءامن	تؤمن
فامنت	ءمن	ءامن	امنت
وءامنهم	ءمن	ءامن	ءامن
ءامنة	ءمن	ءامنة	ءامنة
ءامنين	ءمن	آمن	ءامنين
ءامنون	ءمن	آمن	ءامنون
الءامنين	ءمن	آمن	ءامنين
ءان	ءني	ءان	ءان
ءاناء	ءني	ءاناء	ءاناء
ءانائ	ءني	ءاناء	ءانائ
ءانستم	ءنس	ءانس	ءانس
ءانست	ءنس	ءانس	ءانس
ءانس	ءنس	ءانس	ءانس
ءانفا	ءنف	ءانف	ءانفا
بانية	ءني	ءانية	انية
ءانية	ءني	ءانية	ءانية
فاوىكم	ءوي	ءاوى	اوى
ءاووا	ءوي	ءاوى	ءاو
ءاوى	ءوي	ءاوى	ءاوى
وءاويناهما	ءوي	ءاوى	ءاوي
وتوى	ءوي	ءاوى	توى
تويه	ءوي	ءاوى	توي
فاوى	ءوي	ءاوى	اوى
باياتنا	ءيي	ءاية	ايات
باياتى	ءيي	ءاية	ايات
بايات	ءيي	ءاية	ايات
ءاياته	ءيي	ءاية	ءايات
ءايات	ءيي	ءاية	ءايات
ءاية	ءيي	ءاية	ءاية
ءاية	ءيي	ءاية	ءاية
الءايات	ءيي	ءاية	ءايات
ءاياتك	ءيي	ءاية	ءايات
ءاياتنا	ءيي	ءاية	ءايات
لءايات	ءيي	ءاية	ءايات
ءايات	ءيي	ءاية	ءايات
ءاية	ءيي	ءاية	ءاية
لءاية	ءيي	ءاية	ءاية
ءايات	ءيي	ءاية	ءايات
ءاية	ءيي	ءاية	ءاية
ءايات	ءيي	ءاية	ءايات
ءايتك	ءيي	ءاية	ءايت
باية	ءيي	ءاية	اية
وءاية	ءيي	ءاية	ءاية
باياته	ءيي	ءاية	ايات
الءايات	ءيي	ءاية	ءايات
ءاياتى	ءيي	ءاية	ءايات
ءاياتى	ءيي	ءاية	ءايات
ءاياته	ءيي	ءاية	ءايات
ءاياتنا	ءيي	ءاية	ءايات
وءاياته	ءيي	ءاية	ءايات
ءاياتنا	ءيي	ءاية	ءايات
ءاياتنا	ءيي	ءاية	ءايات
ءايتين	ءيي	ءاية	ءايتين
بالءايات	ءيي	ءاية	ءايات
ءاياتها	ءيي	ءاية	ءايات
وءاية	ءيي	ءاية	ءاية
لءاياتنا	ءيي	ءاية	ءايات
الءاية	ءيي	ءاية	ءاية
يؤاخذكم	ءخذ	آخذ	يؤاخذ
يؤاخذكم	ءخذ	آخذ	يؤاخذ
تؤاخذنا	ءخذ	آخذ	تؤاخذ
يؤلون	ءلو	آلى	يؤل
لأبيه	ءبو	أب	أبي
ياأبتپRأ	ءبو	أب	أبت
أبينا	ءبو	أب	أبي
أبانا	ءبو	أب	أبا
أبيكم	ءبو	أب	أبي
ياأبانا	ءبو	أب	أبا
أباهم	ءبو	أب	أبا
أباه	ءبو	أب	أبا
أبيهم	ءبو	أب	أبي
أبوهم	ءبو	أب	أبو
أبا	ءبو	أب	أبا
أباكم	ءبو	أب	أبا
أبى	ءبو	أب	أب
أبوهم	ءبو	أب	أبو
أبوهما	ءبو	أب	أبو
أبوك	ءبو	أب	أبو
لأبى	ءبو	أب	أبى
وأبونا	ءبو	أب	أبو
أبا	ءبو	أب	أبا
وأبا	ءبب	أب	أبا
وأبيه	ءبو	أب	أبي
أبابيل	ءبل	أبابيل	أبابيل
وأباريق		أباريق	أباريق
الأبتر	بتر	أبتر	أبتر
أبدا	ءبد	أبدا	أبدا
تبدوه	بدو	أبدى	تبد
يبدون	بدو	أبدى	يبد
أبرح	برح	أبرح	أبرح
أبرح	برح	أبرح	أبرح
نبرح	برح	أبرح	نبرح
والأبرص	برص	أبرص	أبرص
أبرموا	برم	أبرم	أبرم
تبسل	بسل	أبسل	تبسل
أبسلوا	بسل	أبسل	أبسل
وأبشروا	بشر	أبشر	أبشر
يبصرون	بصر	أبصر	يبصر
أبصر	بصر	أبصر	أبصر
أبصر	بصر	أبصر	أبصر
وأبصر	بصر	أبصر	أبصر
يبصر	بصر	أبصر	يبصر
تبصرون	بصر	أبصر	تبصر
أبصرنا	بصر	أبصر	أبصر
وأبصرهم	بصر	أبصر	أبصر
فستبصر	بصر	أبصر	تبصر
ويبصرون	بصر	أبصر	يبصر
ليبطئن	بطء	أبطأ	يبطئ
تبطلوا	بطل	أبطل	تبطل
أبق	ءبق	أبق	أبق
وأبقى	بقي	أبقى	أبقى
بكم	بكم	أبكم	بكم
وبكم	بكم	أبكم	بكم
البكم	بكم	أبكم	بكم
أبكم	بكم	أبكم	أبكم
وبكما	بكم	أبكم	بكما
وأبكى	بكي	أبكى	أبكى
أبلغتكم	بلغ	أبلغ	أبلغ
أبلغه	بلغ	أبلغ	أبلغ
أبلغتكم	بلغ	أبلغ	أبلغ
أبلغوا	بلغ	أبلغ	أبلغ
لتبلون	بلو	أبلى	تبلو
ولأبويه	ءبو	أبوان	أبوي
أبواه	ءبو	أبوان	أبوا
أبويكم	ءبو	أبوان	أبوي
أبويك	ءبو	أبوان	أبوي
أبويه	ءبو	أبوان	أبوي
أبى	ءبي	أبى	أبى
يأب	ءبي	أبى	يأب
وتأبى	ءبي	أبى	تأبى
ويأبى	ءبي	أبى	يأبى
فأبى	ءبي	أبى	أبى
فأبى	ءبي	أبى	أبى
فأبوا	ءبي	أبى	أب
وأبى	ءبي	أبى	أبى
فأبين	ءبي	أبى	أبي
الأبيض	بيض	أبيض	أبيض
بيضاء	بيض	أبيض	بيضاء
بيضاء	بيض	أبيض	بيضاء
بيض	بيض	أبيض	بيض
يتبعون	تبع	أتبع	يتبع
فأتبعه	تبع	أتبع	أتبع
فأتبعهم	تبع	أتبع	أتبع
وأتبعوا	تبع	أتبع	أتبع
فأتبع	تبع	أتبع	أتبع
أتبع	تبع	أتبع	أتبع
فأتبعنا	تبع	أتبع	أتبع
فأتبعوهم	تبع	أتبع	أتبع
وأتبعناهم	تبع	أتبع	أتبع
نتبعهم	تبع	أتبع	نتبع
أتراب	ترب	أتراب	أتراب
أترابا	ترب	أتراب	أترابا
أترفوا	ترف	أترف	أترف
أترفتم	ترف	أترف	أترف
وأترفناهم	ترف	أترف	أترف
أتقن	تقن	أتقن	أتقن
أتقىكم	وقي	أتقى	أتقى
الأتقى	وقي	أتقى	أتقى
فأتمهن	تمم	أتم	أتم
ولأتم	تمم	أتم	أتم
أتموا	تمم	أتم	أتم
وأتموا	تمم	أتم	أتم
يتم	تمم	أتم	يتم
وأتممت	تمم	أتم	أتمم
وليتم	تمم	أتم	يتم
وأتممناها	تمم	أتم	أتمم
فأتموا	تمم	أتم	أتم
ويتم	تمم	أتم	يتم
أتمها	تمم	أتم	أتم
يتم	تمم	أتم	يتم
أتممت	تمم	أتم	أتمم
ويتم	تمم	أتم	يتم
أتمم	تمم	أتم	أتمم
أتوكؤا	وكء	أتوكؤا	أتوكؤا
فأتوا	ءتي	أتى	أت
وأتوا	ءتي	أتى	أت
يأتينكم	ءتي	أتى	يأتي
يأتوكم	ءتي	أتى	يأت
نأت	ءتي	أتى	نأت
يأتى	ءتي	أتى	يأتى
تأتينا	ءتي	أتى	تأتي
أتيت	ءتي	أتى	أتي
يأت	ءتي	أتى	يأت
تأتوا	ءتي	أتى	تأت
وأتوا	ءتي	أتى	أت
يأتيهم	ءتي	أتى	يأتي
يأتكم	ءتي	أتى	يأت
فأتوهن	ءتي	أتى	أت
يأتيكم	ءتي	أتى	يأتي
يأتى	ءتي	أتى	يأتى
فأت	ءتي	أتى	أت
يأتينك	ءتي	أتى	يأتي
ويأتوكم	ءتي	أتى	يأت
يأتينا	ءتي	أتى	يأتي
أتوا	ءتي	أتى	أت
يأتين	ءتي	أتى	يأتي
يأتيانها	ءتي	أتى	يأتي
أتين	ءتي	أتى	أتي
ولتأت	ءتي	أتى	تأت
ويأت	ءتي	أتى	يأت
يأتوك	ءتي	أتى	يأت
يأتوا	ءتي	أتى	يأت
تأتيهم	ءتي	أتى	تأتي
يأتيهم	ءتي	أتى	يأتي
أتىهم	ءتي	أتى	أتى
فتأتيهم	ءتي	أتى	تأتي
أتىكم	ءتي	أتى	أتى
أتتكم	ءتي	أتى	أتت
يأتيكم	ءتي	أتى	يأتي
ائتنا	ءتي	أتى	ائت
يأتكم	ءتي	أتى	يأت
تأتيهم	ءتي	أتى	تأتي
لءاتينهم	ءتي	أتى	ءاتين
يأتينكم	ءتي	أتى	يأتي
فأتنا	ءتي	أتى	أت
أتأتون	ءتي	أتى	تأت
لتأتون	ءتي	أتى	تأت
يأتيهم	ءتي	أتى	يأتي
تأتينا	ءتي	أتى	تأتي
تأتنا	ءتي	أتى	تأت
فأتوا	ءتي	أتى	أت
تأتيهم	ءتي	أتى	تأتي
يأتهم	ءتي	أتى	يأت
تأتيكم	ءتي	أتى	تأتي
تأتهم	ءتي	أتى	تأت
يأتون	ءتي	أتى	يأت
أتتهم	ءتي	أتى	أتت
أتوك	ءتي	أتى	أت
ائت	ءتي	أتى	ائت
أتىها	ءتي	أتى	أتى
ائتونى	ءتي	أتى	ائت
يأتيه	ءتي	أتى	يأتي
يأتيكما	ءتي	أتى	يأتي
يأتيكما	ءتي	أتى	يأتي
تأتونى	ءتي	أتى	تأت
لتأتننى	ءتي	أتى	تأتن
يأتينى	ءتي	أتى	يأتي
وأتونى	ءتي	أتى	أت
تأتيهم	ءتي	أتى	تأتي
نأتى	ءتي	أتى	نأتى
فأتونا	ءتي	أتى	أت
نأتيكم	ءتي	أتى	نأتي
ويأتيه	ءتي	أتى	يأتي
يأتيهم	ءتي	أتى	يأتي
يأتيهم	ءتي	أتى	يأتي
وأتيناك	ءتي	أتى	أتي
يأتيك	ءتي	أتى	يأتي
أتى	ءتي	أتى	أتى
فأتى	ءتي	أتى	أتى
وأتىهم	ءتي	أتى	أتى
تأتى	ءتي	أتى	تأتى
يأتيها	ءتي	أتى	يأتي
تأتى	ءتي	أتى	تأتى
فليأتكم	ءتي	أتى	يأت
أتيا	ءتي	أتى	أتي
فأتت	ءتي	أتى	أتت
يأتوننا	ءتي	أتى	يأت
يأتك	ءتي	أتى	يأت
ويأتينا	ءتي	أتى	يأتي
أتىك	ءتي	أتى	أتى
ءاتيكم	ءتي	أتى	ءاتي
فأتياه	ءتي	أتى	أتي
فلنأتينك	ءتي	أتى	نأتي
ائتوا	ءتي	أتى	ائت
يأته	ءتي	أتى	يأت
أتتك	ءتي	أتى	أتت
يأتينا	ءتي	أتى	يأتي
أفتأتون	ءتي	أتى	تأت
فليأتنا	ءتي	أتى	يأت
أتينا	ءتي	أتى	أتي
يأتيهم	ءتي	أتى	يأتي
أتيناهم	ءتي	أتى	أتي
يأتونك	ءتي	أتى	يأت
أتوا	ءتي	أتى	أت
فسيأتيهم	ءتي	أتى	يأتي
فأتيا	ءتي	أتى	أتي
أتى	ءتي	أتى	أتى
فيأتيهم	ءتي	أتى	يأتي
ساتيكم	ءتي	أتى	اتي
ليأتينى	ءتي	أتى	يأتي
فلنأتينهم	ءتي	أتى	نأتي
يأتينى	ءتي	أتى	يأتي
يأتونى	ءتي	أتى	يأت
ءاتيك	ءتي	أتى	ءاتي
أتوه	ءتي	أتى	أت
أتىهم	ءتي	أتى	أتى
وتأتون	ءتي	أتى	تأت
وليأتينهم	ءتي	أتى	يأتي
لتأتينكم	ءتي	أتى	تأتي
تأتوننا	ءتي	أتى	تأت
فأتىهم	ءتي	أتى	أتى
تأتيهم	ءتي	أتى	تأتي
ائتيا	ءتي	أتى	ائتي
تأتيهم	ءتي	أتى	تأتي
أتت	ءتي	أتى	أتت
فليأتوا	ءتي	أتى	يأت
فليأت	ءتي	أتى	يأت
أتىنا	ءتي	أتى	أتى
فتأتون	ءتي	أتى	تأت
فأثابكم	ثوب	أثاب	أثاب
فأثابهم	ثوب	أثاب	أثاب
وأثابهم	ثوب	أثاب	أثاب
أثاثا	ءثث	أثاث	أثاثا
تثير	ثور	أثار	تثير
وأثاروا	ثور	أثار	أثار
فتثير	ثور	أثار	تثير
فأثرن	ثور	أثار	أثر
أثارة	ءثر	أثارة	أثارة
أثاما	ءثم	أثام	أثاما
يثخن	ثخن	أثخن	يثخن
أثخنتموهم	ثخن	أثخن	أثخن
ءاثارهم	ءثر	أثر	ءاثار
ءاثارهم	ءثر	أثر	ءاثار
ءاثارهما	ءثر	أثر	ءاثار
أثرى	ءثر	أثر	أثر
أثر	ءثر	أثر	أثر
ءاثار	ءثر	أثر	ءاثار
وءاثارهم	ءثر	أثر	ءاثار
وءاثارا	ءثر	أثر	ءاثارا
أثقلت	ثقل	أثقلت	أثقلت
وأثل	ءثل	أثل	أثل
أثمر	ثمر	أثمر	أثمر
أثيم	ءثم	أثيم	أثيم
أثيما	ءثم	أثيم	أثيما
الأثيم	ءثم	أثيم	أثيم
أجاج	ءجج	أجاج	أجاج
أجاجا	ءجج	أجاج	أجاجا
الأجداث	جدث	أجداث	أجداث
وأجدر	جدر	أجدر	أجدر
أجرهم	ءجر	أجر	أجر
أجره	ءجر	أجر	أجر
أجورهم	ءجر	أجر	أجور
أجر	ءجر	أجر	أجر
أجر	ءجر	أجر	أجر
أجر	ءجر	أجر	أجر
أجوركم	ءجر	أجر	أجور
أجورهن	ءجر	أجر	أجور
أجرا	ءجر	أجر	أجرا
وأجر	ءجر	أجر	أجر
لأجرا	ءجر	أجر	أجرا
أجر	ءجر	أجر	أجر
أجرى	ءجر	أجر	أجر
ولأجر	ءجر	أجر	أجر
أجرهم	ءجر	أجر	أجر
أجره	ءجر	أجر	أجر
أجرها	ءجر	أجر	أجر
وأجرا	ءجر	أجر	أجرا
وأجر	ءجر	أجر	أجر
فأجره	ءجر	أجر	أجر
أجرهم	ءجر	أجر	أجر
أجرموا	جرم	أجرم	أجرم
تجرمون	جرم	أجرم	تجرم
أجرمنا	جرم	أجرم	أجرم
أجلهن	ءجل	أجل	أجل
أجله	ءجل	أجل	أجل
أجل	ءجل	أجل	أجل
أجله	ءجل	أجل	أجل
أجل	ءجل	أجل	أجل
أجلا	ءجل	أجل	أجلا
وأجل	ءجل	أجل	أجل
أجل	ءجل	أجل	أجل
أجلنا	ءجل	أجل	أجل
أجلت	ءجل	أجل	أجل
أجلهم	ءجل	أجل	أجل
لأجل	ءجل	أجل	أجل
أجلها	ءجل	أجل	أجل
الأجلين	ءجل	أجل	أجلين
الأجل	ءجل	أجل	أجل
أجل	ءجل	أجل	أجل
وأجل	ءجل	أجل	أجل
أجلها	ءجل	أجل	أجل
أجلهن	ءجل	أجل	أجل
أجلت	ءجل	أجل	أجلت
وأجلب	جلب	أجلب	أجلب
فأجمعوا	جمع	أجمع	أجمع
وأجمعوا	جمع	أجمع	أجمع
أجمعوا	جمع	أجمع	أجمع
أجمعين	جمع	أجمع	أجمعين
أجمعون	جمع	أجمع	أجمعون
أجنة	جنن	أجنة	أجنة
أجيب	جوب	أجيبت	أجيب
أجبتم	جوب	أجيبت	أجب
أجيبت	جوب	أجيبت	أجيبت
نجب	جوب	أجيبت	نجب
يجيب	جوب	أجيبت	يجيب
أجبتم	جوب	أجيبت	أجب
أجيبوا	جوب	أجيبت	أجيب
يجب	جوب	أجيبت	يجب
وأحاطت	حوط	أحاط	أحاطت
يحيطون	حوط	أحاط	يحيط
أحيط	حوط	أحاط	أحيط
يحيطوا	حوط	أحاط	يحيط
يحاط	حوط	أحاط	يحاط
أحاط	حوط	أحاط	أحاط
وأحيط	حوط	أحاط	أحيط
تحط	حوط	أحاط	تحط
أحطنا	حوط	أحاط	أحط
أحطت	حوط	أحاط	أحط
تحيطوا	حوط	أحاط	تحيط
وأحاط	حوط	أحاط	أحاط
أحب	حبب	أحب	أحب
أحب	حبب	أحب	أحب
وأحباؤه	حبب	أحباؤ	أحباؤ
والأحبار	حبر	أحبار	أحبار
أحبارهم	حبر	أحبار	أحبار
الأحبار	حبر	أحبار	أحبار
يحبونهم	حبب	أحبب	يحب
يحب	حبب	أحبب	يحب
تحبوا	حبب	أحبب	تحب
ويحب	حبب	أحبب	يحب
تحبون	حبب	أحبب	تحب
يحببكم	حبب	أحبب	يحبب
تحبونهم	حبب	أحبب	تحب
يحبونكم	حبب	أحبب	يحب
ويحبون	حبب	أحبب	يحب
يحبهم	حبب	أحبب	يحب
ويحبونه	حبب	أحبب	يحب
أحب	حبب	أحبب	أحب
يحبون	حبب	أحبب	يحب
أحببت	حبب	أحبب	أحبب
أحببت	حبب	أحبب	أحبب
أيحب	حبب	أحبب	يحب
تحبونها	حبب	أحبب	تحب
وتحبون	حبب	أحبب	تحب
فأحبط	حبط	أحبط	أحبط
وسيحبط	حبط	أحبط	يحبط
لأحتنكن	حنك	أحتنك	أحتنك
أحدهم	ءحد	أحد	أحد
أحد	ءحد	أحد	أحد
أحدكم	ءحد	أحد	أحد
أحدكم	ءحد	أحد	أحد
أحد	ءحد	أحد	أحد
أحدهم	ءحد	أحد	أحد
أحدهم	ءحد	أحد	أحد
أحدا	ءحد	أحد	أحدا
أحدهما	ءحد	أحد	أحد
أحد	ءحد	أحد	أحد
أحدهما	ءحد	أحد	أحد
أحدكما	ءحد	أحد	أحد
أحدنا	ءحد	أحد	أحد
أحدهم	ءحد	أحد	أحد
أحدكم	ءحد	أحد	أحد
لأحدهما	ءحد	أحد	أحد
أحدهم	ءحد	أحد	أحد
كأحد	ءحد	أحد	أحد
لأحد	ءحد	أحد	أحد
أحرص	حرص	أحرص	أحرص
أحس	حسس	أحس	أحس
تحس	حسس	أحس	تحس
أحسوا	حسس	أحس	أحس
أحسن	حسن	أحسن	أحسن
وأحسنوا	حسن	أحسن	أحسن
أحسنوا	حسن	أحسن	أحسن
وأحسن	حسن	أحسن	أحسن
بأحسن	حسن	أحسن	أحسن
تحسنوا	حسن	أحسن	تحسن
وأحسنوا	حسن	أحسن	أحسن
أحسن	حسن	أحسن	أحسن
بأحسنها	حسن	أحسن	أحسن
بأحسن	حسن	أحسن	أحسن
أحسنتم	حسن	أحسن	أحسن
يحسنون	حسن	أحسن	يحسن
وأحسن	حسن	أحسن	أحسن
وأحسن	حسن	أحسن	أحسن
أحسنه	حسن	أحسن	أحسن
فأحسن	حسن	أحسن	أحسن
أحسن	حسن	أحسن	أحسن
أحصرتم	حصر	أحصر	أحصر
أحصروا	حصر	أحصر	أحصر
أحصن	حصن	أحصنت	أحص
تحصنون	حصن	أحصنت	تحصن
لتحصنكم	حصن	أحصنت	تحصن
أحصنت	حصن	أحصنت	أحصنت
تحصوها	حصي	أحصى	تحص
أحصىها	حصي	أحصى	أحصى
أحصىهم	حصي	أحصى	أحصى
أحصيناه	حصي	أحصى	أحصي
أحصىه	حصي	أحصى	أحصى
وأحصوا	حصي	أحصى	أحص
وأحصى	حصي	أحصى	أحصى
تحصوه	حصي	أحصى	تحص
أحصى	حصي	أحصى2	أحصى
وأحضرت	حضر	أحضرت	أحضرت
لنحضرنهم	حضر	أحضرت	نحضر
أحضرت	حضر	أحضرت	أحضرت
أحق	حقق	أحق	أحق
أحق	حقق	أحق	أحق
أحقابا	حقب	أحقاب	أحقابا
بالأحقاف	حقف	أحقاف	أحقاف
أحكم	حكم	أحكم	أحكم
بأحكم	حكم	أحكم	أحكم
أحكمت	حكم	أحكمت	أحكمت
يحكم	حكم	أحكمت	يحكم
أحل	حلل	أحل	أحل
وأحل	حلل	أحل	أحل
ولأحل	حلل	أحل	أحل
وأحل	حلل	أحل	أحل
أحلت	حلل	أحل	أحلت
تحلوا	حلل	أحل	تحل
أحل	حلل	أحل	أحل
ويحل	حلل	أحل	يحل
يحلونه	حلل	أحل	يحل
فيحلوا	حلل	أحل	يحل
وأحلوا	حلل	أحل	أحل
وأحلت	حلل	أحل	أحلت
أحللنا	حلل	أحل	أحلل
أحلنا	حلل	أحل	أحل
الأحمال	حمل	أحمال	أحمال
أحمد		أحمد	أحمد
أحوى	حوي	أحوى	أحوى
فأحياكم	حيي	أحيا	أحيا
يحييكم	حيي	أحيا	يحيي
يحى	حيي	أحيا	يحى
فأحيا	حيي	أحيا	أحيا
أحياهم	حيي	أحيا	أحيا
أحى	حيي	أحيا	أحى
تحى	حيي	أحيا	تحى
وأحى	حيي	أحيا	أحى
أحياها	حيي	أحيا	أحيا
أحيا	حيي	أحيا	أحيا
فأحييناه	حيي	أحيا	أحيي
نحى	حيي	أحيا	نحى
فلنحيينه	حيي	أحيا	نحيي
أحياكم	حيي	أحيا	أحيا
لنحى	حيي	أحيا	نحى
يحيين	حيي	أحيا	يحيي
ويحى	حيي	أحيا	يحى
فيحى	حيي	أحيا	يحى
فأحيينا	حيي	أحيا	أحيي
أحييناها	حيي	أحيا	أحيي
يحييها	حيي	أحيا	يحيي
وأحييتنا	حيي	أحيا	أحيي
يحى	حيي	أحيا	يحى
وأحيينا	حيي	أحيا	أحيي
وأحيا	حيي	أحيا	أحيا
أخيه	ءخو	أخ	أخي
فإخوانكم	ءخو	أخ	إخوان
إخوانا	ءخو	أخ	إخوانا
لإخوانهم	ءخو	أخ	إخوان
أخ	ءخو	أخ	أخ
الأخ	ءخو	أخ	أخ
وأخى	ءخو	أخ	أخ
أخى	ءخو	أخ	أخ
وإخوانهم	ءخو	أخ	إخوان
أخاهم	ءخو	أخ	أخا
وأخاه	ءخو	أخ	أخا
لأخيه	ءخو	أخ	أخي
ولأخى	ءخو	أخ	أخ
وإخوانهم	ءخو	أخ	إخوان
وإخوانكم	ءخو	أخ	إخوان
وإخوانكم	ءخو	أخ	إخوان
وأخيه	ءخو	أخ	أخي
وأخوه	ءخو	أخ	أخو
بأخ	ءخو	أخ	أخ
أخانا	ءخو	أخ	أخا
أخاه	ءخو	أخ	أخا
أخوك	ءخو	أخ	أخو
إخوان	ءخو	أخ	إخوان
وأخوك	ءخو	أخ	أخو
إخوانهن	ءخو	أخ	إخوان
إخوانكم	ءخو	أخ	إخوان
أخوهم	ءخو	أخ	أخو
بأخيك	ءخو	أخ	أخي
أخا	ءخو	أخ	أخا
أخويكم	ءخو	أخ	أخوي
وإخوان	ءخو	أخ	إخوان
إخوانهم	ءخو	أخ	إخوان
ولإخواننا	ءخو	أخ	إخوان
لإخوانهم	ءخو	أخ	إخوان
أخباركم	خبر	أخبار	أخبار
أخباركم	خبر	أخبار	أخبار
أخبارها	خبر	أخبار	أخبار
وأخبتوا	خبت	أخبت	أخبت
فتخبت	خبت	أخبت	تخبت
أخت	ءخو	أخت	أخت
وأخواتكم	ءخو	أخت	أخوات
الأخت	ءخو	أخت	أخت
وأخواتكم	ءخو	أخت	أخوات
الأختين	ءخو	أخت	أختين
أختها	ءخو	أخت	أخت
ياأخت	ءخو	أخت	أخت
أختك	ءخو	أخت	أخت
أخواتهن	ءخو	أخت	أخوات
أخواتكم	ءخو	أخت	أخوات
لأخته	ءخو	أخت	أخت
أختها	ءخو	أخت	أخت
أخدان	خدن	أخدان	أخدان
الأخدود	خدد	أخدود	أخدود
يؤخذ	ءخذ	أخذ	يؤخذ
فأخذتكم	ءخذ	أخذ	أخذت
أخذنا	ءخذ	أخذ	أخذ
خذوا	ءخذ	أخذ	خذ
أخذته	ءخذ	أخذ	أخذت
تأخذوا	ءخذ	أخذ	تأخذ
تأخذه	ءخذ	أخذ	تأخذ
فخذ	ءخذ	أخذ	خذ
فأخذهم	ءخذ	أخذ	أخذ
أخذ	ءخذ	أخذ	أخذ
وأخذتم	ءخذ	أخذ	أخذ
أتأخذونه	ءخذ	أخذ	تأخذ
تأخذونه	ءخذ	أخذ	تأخذ
وأخذن	ءخذ	أخذ	أخذ
فخذوهم	ءخذ	أخذ	خذ
وليأخذوا	ءخذ	أخذ	يأخذ
وخذوا	ءخذ	أخذ	خذ
فأخذتهم	ءخذ	أخذ	أخذت
وأخذنا	ءخذ	أخذ	أخذ
وأخذهم	ءخذ	أخذ	أخذ
فخذوه	ءخذ	أخذ	خذ
فأخذناهم	ءخذ	أخذ	أخذ
أخذناهم	ءخذ	أخذ	أخذ
يؤخذ	ءخذ	أخذ	يؤخذ
فيأخذكم	ءخذ	أخذ	يأخذ
فخذها	ءخذ	أخذ	خذ
يأخذوا	ءخذ	أخذ	يأخذ
وأخذ	ءخذ	أخذ	أخذ
أخذتهم	ءخذ	أخذ	أخذت
يأخذون	ءخذ	أخذ	يأخذ
يأخذوه	ءخذ	أخذ	يأخذ
خذ	ءخذ	أخذ	خذ
أخذتم	ءخذ	أخذ	أخذ
أخذ	ءخذ	أخذ	أخذ
وخذوهم	ءخذ	أخذ	خذ
خذ	ءخذ	أخذ	خذ
ويأخذ	ءخذ	أخذ	يأخذ
أخذت	ءخذ	أخذ	أخذت
وأخذت	ءخذ	أخذ	أخذت
أخذ	ءخذ	أخذ	أخذ
أخذه	ءخذ	أخذ	أخذ
ليأخذ	ءخذ	أخذ	يأخذ
نأخذ	ءخذ	أخذ	نأخذ
أخذتهم	ءخذ	أخذ	أخذ
يأخذهم	ءخذ	أخذ	يأخذ
