word	root	stem	lemma
أتاك	ءتو;ءتي;تيك	أتى;تاك;أتا	أتى;تاك;أتا
آتاك	ءتي	آتى	آتى
أتاكم	ءتو;ءتي	أتى;أتا	أتى;أتا
آتاكم	ءتي	آتى	آتى
أتأمرون	ءمر	أمر	أمر
أتانا	ءتو;ءتي;ءتان	أتان;أتى;أتا	أتان;أتى;أتا
آتانا	ءتي	آتى	آتى
آتاني	ءتي	آتى	آتى
آتاه	ءتي	آتى	آتى
آتاها	ءتي	آتى	آتى
أتاها	تيه;ءتو;ءتي	أتى;أتا;تاه	أتى;أتا;تاه
أتاهم	ءتو;ءتي	أتى;أتا	أتى;أتا
آتاهم	ءتي	آتى	آتى
آتاهما	ءتي	آتى	آتى
اتباع	تبع	اتباع	اتباع
اتبع	تبع	اتبع	اتبع
أتبع	تبع	تبع;اتبع;أتبع	تبع;اتبع;أتبع
اتبعت	تبع	اتبع	اتبع
اتبعتم	تبع	اتبع	اتبع
اتبعتني	تبع	اتبع	اتبع
أتبعك	تبع	اتبع	اتبع
اتبعك	تبع	اتبع	اتبع
اتبعكما	تبع	اتبع	اتبع
اتبعن	تبع	اتبع	اتبع
اتبعني	تبع	اتبع	اتبع
أتبعه	تبع	اتبع	اتبع
اتبعوا	تبع	اتبع	اتبع
اتبعوك	تبع	اتبع	اتبع
اتبعون	تبع	اتبع	اتبع
اتبعوه	تبع	اتبع	اتبع
اتبعوهم	تبع	اتبع	اتبع
أتبنون	بني	بنى	بنى
أتت	ءتو;ءتي	أتى;أتا	أتى;أتا
آتت	ءتي	آتى	آتى
أتتخذ	ءخذ	اتخذ	اتخذ
أتتخذنا	ءخذ	اتخذ	اتخذ
أتتركون	ترك	ترك	ترك
أتتك	ءتو;ءتي	أتى;أتا	أتى;أتا
أتتكم	ءتو;ءتي	أتى;أتا	أتى;أتا
أتتهم	ءتو;ءتي	أتى;أتا	أتى;أتا
أتجادلونني	جدل	جادل	جادل
أتجعل	جعل	جعل	جعل
أتحاجوننا	حجج	حاج	حاج
أتحاجوني	حجج	حاجّ	حاجّ
أتحاجوني	حجج	حاج	حاج
أتحدثونهم	حدث	حدث	حدث
أتخذ	ءخذ	اتخذ	اتخذ
اتخذ	ءخذ	اتخذ	اتخذ
اتخذت	ءخذ	اتخذ	اتخذ
أتخذتم	ءخذ	اتخذ	اتخذ
اتخذتم	ءخذ	اتخذ	اتخذ
أتخذناهم	ءخذ	اتخذ	اتخذ
اتخذها	ءخذ	اتخذ	اتخذ
اتخذوا	ءخذ	اتخذ	اتخذ
اتخذوني	ءخذ	اتخذ	اتخذ
اتخذوه	ءخذ	اتخذ	اتخذ
اتخذوها	ءخذ	اتخذ	اتخذ
اتخذوهم	ءخذ	اتخذ	اتخذ
اتخذي	ءخذ	اتخذ	اتخذ
أتخشونهم	خشي	خشي	خشي
أتدعون	دعو	دعا	دعا
أتذر	وذر	وذر	وذر
أترابا	ترب	أتراب	أتراب
أتراب	ترب	أتراب	أتراب
أترفتم	ترف	أترف	أترف
أترفوا	ترف	أترف	أترف
أتريد	رود	أراد	أراد
أتريدون	رود	أراد	أراد
أتستبدلون	بدل	استبدل	استبدل
اتسق	وسق	اتسق	اتسق
أتصبرون	صبر	صبر	صبر
أتعبدون	عبد	عبد	عبد
أتعجبين	عجب	عجب	عجب
أتعدانني	وعد	وعد	وعد
أتعلمون	علم	علم	علم
أتقاكم	تقي	أتقى	أتقى
أتقاكم	وقي	أتقى	أتقى
أتقتلون	قتل	قتل	قتل
أتقن	تقن	أتقن	أتقن
اتقوا	وقي	اتقى	اتقى
اتق	وقي	اتقى	اتقى
أتقولون	قول	قال	قال
اتقيتن	وقي	اتقى	اتقى
اتقى	وقي	اتقى	اتقى
أتل	تلو	تلا	تلا
اتل	تلو	تلا	تلا
أتلو	تلو	تلا	تلا
أتمدونن	مدد	أمدّ	أمدّ
أتممت	تمم	أتم	أتم
أتمم	تمم	تم;أتم	تم;أتم
أتمها	تمم	تم;أتم	تم;أتم
أتموا	تمم	أتم	أتم
آتنا	ءتي	آتى	آتى
أتنبئون	نبء	نبأ	نبأ
أتنهانا	نهي	نهى	نهى
أتهتدي	هدي	اهتدى	اهتدى
أتهلكنا	هلك	أهلك	أهلك
آتهم	ءتي	آتى	آتى
أتوا	ءتو;ءتي	أتى;أتا	أتى;أتا
آتوا	ءتي	آتى	آتى
أتواصوا	وصي	تواصى	تواصى
أتوب	توب	تاب	تاب
أتوك	ءتي	أتى	أتى
أتوكأ	وكء	توكأ	توكأ
آتوني	ءتي	آتى	آتى
آتوه	ءتي	آتى	آتى
أتوه	توه	توه	توه
آتي	ءتي	آتى	آتى
أتى	ءتي	أتى	أتى
أتيا	ءتي	أتى	أتى
آتية	ءتي	آتي	آتي
آتيت	ءتي	آتى	آتى
أتيت	ءتي	أتى	أتى
آتيتك	ءتي	آتى	آتى
آتيتكم	ءتي	آتى	آتى
آتيتم	ءتي	آتى	آتى
آتيتموهن	ءتي	آتى	آتى
آتيتنا	ءتي	آتى	آتى
آتيتني	ءتي	آتى	آتى
آتيتهن	ءتي	آتى	آتى
آتيك	ءتي	آتي	آتي
آتيكم	ءتي	آتي	آتي
آتينا	ءتي	آتى	آتى
أتينا	تين;ءتي	تين;أتى	تين;أتى
آتيناك	ءتي	آتى	آتى
آتيناكم	ءتي	آتى	آتى
آتيناه	ءتي	آتى	آتى
آتيناها	ءتي	آتى	آتى
آتيناهم	ءتي	آتى	آتى
أتيناهم	ءتي	أتى	أتى
أتين	تين;ءتي	تين;أتى	تين;أتى
آتيه	ءتي	آتي	آتي
آتيهم	ءتي	آتي	آتي
أثاثا	ءتث	أثاث	أثاث
آثار	ءثر	آثار	آثار
أثارة	ءثر	أثارة	أثارة
آثارهم	ءثر	آثار	آثار
آثارهما	ءثر	آثار	آثار
اثاقلتم	ثقل	اثاقل	اثاقل
أثاما	ءثم	إثم	إثم
أثخنتموهم	ثخن	أثخن	أثخن
أثر	ءثر	أثر	أثر
آثرك	ءثر	آثر	آثر
أثري	ءثر;ثرو	ثري;أثر	ثري;أثر
أثقالكم	ثقل	أثقال	أثقال
أثقالها	ثقل	أثقال	أثقال
أثقالهم	ثقل	أثقال	أثقال
أثقلت	ثقل	أثقل	أثقل
آثم	ءثم	آثم	آثم
آثما	ءثم	آثم	آثم
إثما	اثم	إثم	إثم
إثم	اثم	إثم	إثم
أثم	ثمم	ثم	ثم
أثمر	ثمر	أثمر	أثمر
إثمه	اثم	إثم	إثم
اثنا	ثني	اثنا	اثنا
اثنان	ثني	اثنان	اثنان
اثنتا	ثنت	ثنت	ثنت
اثنتي	ثني	اثنان	اثنان
اثنتي	ثني	اثنتا	اثنتا
اثنتين	ثني	اثنان	اثنان
اثني	ثني	اثنا	اثنا
اثنين	ثني	اثنان	اثنان
أثيم	ءثم	أثيم	أثيم
أثيما	ءثم	أثيم	أثيم
أجاج	ءجج	أجاج	أجاج
أجاجا	ءجج	أجاج	أجاج
أجبتم	جوب	أجاب	أجاب
اجتباكم	جبي	اجتبى	اجتبى
اجتباه	جبي	اجتبى	اجتبى
اجتبيتها	جبي	اجتبى	اجتبى
اجتثت	جثث	اجتث	اجتث
اجترحوا	جرح	اجترح	اجترح
اجتمعت	جمع	اجتمع	اجتمع
اجتمعوا	جمع	اجتمع	اجتمع
اجتنبوا	جنب	اجتنب	اجتنب
أجد	وجد	وجد	وجد
أجر	ءجر	أجر	أجر
أجرا	ءجر	أجر	أجر
إجرامي	جرم	إجرام	إجرام
أجرمنا	جرم	أجرم	أجرم
أجرموا	جرم	أجرم	أجرم
أجره	ءجر	أجر	أجر
أجرها	ءجر	أجر	أجر
أجرهم	ءجر	أجر	أجر
أجري	جري;ءجر	أجر;جرى;أجرى	أجر;جرى;أجرى
أجزعنا	جزع	جزع	جزع
أجسامهم	جسم	أجسام	أجسام
أجعلتم	جعل	جعل	جعل
أجعل	جعل	جعل	جعل
اجعل	جعل	جعل	جعل
أجعلنا	جعل	جعل	جعل
اجعلني	جعل	جعل	جعل
اجعلوا	جعل	جعل	جعل
أجلا	ءجل	أجل	أجل
أجلت	ءجل	أجل	أجل
أجل	جلي;ءجل	أجل;جلى;أجلى	أجل;جلى;أجلى
أجلنا	ءجل	أجل	أجل
أجله	ءجل	أجل	أجل
أجلها	ءجل;جله	أجل;جله	أجل;جله
أجلهم	ءجل	أجل	أجل
أجلهن	ءجل	أجل	أجل
أجمعوا	جمع	أجمع	أجمع
أجمعون	جمع	أجمع	أجمع
أجمعين	جمع	أجمع	أجمع
أجنة	جن;جنن;جني	جن;أجنة	جن;أجنة
أجنحة	جنح	أجنحة	أجنحة
اجهروا	جهر	جهر	جهر
أجوركم	ءجر	أجور	أجور
أجورهم	ءجر	أجور	أجور
أجورهن	ءجر	أجور	أجور
أجئتنا	جيء	جاء	جاء
أجيبت	جوب	أجاب	أجاب
أجيب	جوب	أجاب	أجاب
أجيبوا	جيب;جوب	جاب;أجاب	جاب;أجاب
أحاديث	حدث	أحاديث	أحاديث
أحاط	حوط	أحاط;حاط	أحاط;حاط
أحبارهم	حبر	أحبار	أحبار
أحببت	حبب	أحب	أحب
أحب	حب;حبب	حب;أحب	حب;أحب
احتمل	حمل	احتمل	احتمل
احتملوا	حمل	احتمل	احتمل
إحداهما	ءحدى	إحدى	إحدى
إحداهن	ءحدى	إحدى	إحدى
أحدا	وحد	أحد	أحد
أحدث	حدث	أحدث	أحدث
أحدكما	وحد	أحد	أحد
أحدكم	وحد	أحد	أحد
أحدنا	وحد	أحد	أحد
أحدهما	وحد	أحد	أحد
أحدهم	وحد	أحد	أحد
أحد	وحد	أحد	أحد
إحدى	ءحدى	إحدى	إحدى
أحرص	حرص	حرص	حرص
إحسانا	حسن	إحسان	إحسان
أحسب	حسب	حسب	حسب
أحس	حسس	أحس;حس	أحس;حس
أحسنتم	حسن	أحسن	أحسن
أحسن	حسن	أحسن	أحسن
أحسنه	حسن	أحسن	أحسن
أحسنوا	حسن	أحسن	أحسن
أحسوا	حسس	أحس;حس	أحس;حس
احشروا	حشر	حشر	حشر
أحصاها	حصي	أحصى;حصي	أحصى;حصي
أحصاه	حصي	أحصى;حصي	أحصى;حصي
أحصاهم	حصي	أحصى;حصي	أحصى;حصي
أحصرتم	حصر	أحصر	أحصر
أحصروا	حصر	أحصر	أحصر
أحصنت	حصن	أحصن	أحصن
أحصن	حصن	أحصنت	أحصنت
أحصى	حصي	أحصى;حصي	أحصى;حصي
أحصيناه	حصي	أحصى	أحصى
أحضرت	حضر	أحضر	أحضر
أحطت	حوط	أحاط	أحاط
أحطنا	حوط	أحاط	أحاط
أحقابا	حقب	أحقاب	أحقاب
أحق	حقق	أحق;حق	أحق;حق
أحكمت	حكم	أحكم	أحكم
أحكم	حكم	أحكم	أحكم
احكم	حكم	حكم	حكم
أحلام	حلم	أحلام	أحلام
أحلامهم	حلم	أحلام	أحلام
أحلت	حلل	أحل	أحل
أحل	حلل	حل;أحل	حل;أحل
أحللنا	حلل	أحل	أحل
أحلنا	حلل	حل;أحل	حل;أحل
أحمد	حمد	حمد	حمد
أحمل	حمل	حمل	حمل
احمل	حمل	حمل	حمل
أحملكم	حمل	حمل	حمل
أحوى	حوي	أحوى	أحوى
أحياء	حيي	أحياء	أحياء
أحيا	حيي	أحيا;حيي	أحيا;حيي
أحياكم	حيي	أحيا	أحيا
أحياها	حيي	أحيا	أحيا
أحياهم	حيي	أحيا	أحيا
أحيط	حوط	أحاط	أحاط
أحيي	حيي	أحيا	أحيا
أحييناها	حيي	أحيا	أحيا
أخ	ءخو	أخ	أخ
أخا	ءخو	أخا;أخ	أخا;أخ
أخاف	خوف	خاف	خاف
أخالفكم	خلف	خالف	خالف
أخانا	خان;خون;ءخو	أخا;خان;أخ	أخا;خان;أخ
أخاه	ءخو	أخا	أخا
أخاهم	ءخو	أخا	أخا
أخباركم	خبر	أخبار	أخبار
أخبارها	خبر	أخبار	أخبار
أخت	ختو;ءخو	ختا;أخت	ختا;أخت
اخترتك	خير	اختار	اختار
اخترناهم	خير	اختار	اختار
اختصموا	خصم	اختصم	اختصم
أختك	ءخو	أخت	أخت
اختلافا	خلف	اختلاف	اختلاف
اختلاف	خلف	اختلاف	اختلاف
اختلاق	خلق	اختلاق	اختلاق
اختلط	خلط	اختلط	اختلط
اختلفتم	خلف	اختلف	اختلف
اختلف	خلف	اختلف	اختلف
اختلفوا	خلف	اختلف	اختلف
أختها	ءخو	أخت	أخت
أخدان	خدن	أخدان	أخدان
آخذ	ءخذ	آخذ	آخذ
أخذ	ءخذ;خذو;خذي	خذا;أخذ;خذي	خذا;أخذ;خذي
أخذا	ءخذ	أخذ	أخذ
أخذة	ءخذ	أخذ	أخذ
أخذت	ءخذ;خذو	خذا;أخذ	خذا;أخذ
أخذتم	ءخذ	أخذ	أخذ
أخذته	ءخذ	أخذ	أخذ
أخذتها	ءخذ	أخذ	أخذ
أخذتهم	ءخذ	أخذ	أخذ
أخذنا	ءخذ	أخذ	أخذ
أخذناهم	ءخذ	أخذ	أخذ
أخذه	ءخذ	أخذ	أخذ
أخذوا	ءخذ	أخذ	أخذ
آخذين	ءخذ	آخذ	آخذ
آخر	ءخر	آخر	آخر
أخر	ءخر	أخر	أخر
إخراجا	خرج	إخراج	إخراج
إخراج	خرج	إخراج	إخراج
إخراجكم	خرج	إخراج	إخراج
إخراجهم	خرج	إخراج	إخراج
أخراكم	ءخر	أخرى	أخرى
آخران	ءخر	آخر	آخر
أخراهم	ءخر	أخرى	أخرى
أخرتن	ءخر	أخّر	أخّر
أخرتنا	ءخر	أخر	أخر
أخرتني	ءخر	أخر	أخر
أخرجت	خرج	أخرج	أخرج
أخرجتك	خرج	أخرج	أخرج
أخرجتم	خرج	أخرج	أخرج
أخرج	خرج	أخرج;خرج	أخرج;خرج
اخرج	خرج	خرج	خرج
أخرجك	خرج	أخرج	أخرج
أخرجكم	خرج	أخرج	أخرج
أخرجنا	خرج	أخرج	أخرج
أخرجني	خرج	أخرج	أخرج
أخرجه	خرج	أخرج	أخرج
أخرجوا	خرج	أخرج	أخرج
اخرجوا	خرج	خرج	خرج
أخرجوكم	خرج	أخرج	أخرج
أخرجوهم	خرج	أخرج	أخرج
أخرقتها	خرق	خرق	خرق
أخرنا	ءخر	أخر	أخر
آخره	ءخر	آخر	آخر
آخرون	ءخر	آخر	آخر
أخرى	ءخر	أخرى	أخرى
آخرين	ءخر	آخر	آخر
أخزيته	خزي	أخزى	أخزى
أخزى	خزي	أخزى;خزي	أخزى;خزي
اخسئوا	خسء	خسأ	خسأ
أخطأتم	خطء	أخطأ	أخطأ
أخطأنا	خطء	أخطأ;خطئ	أخطأ;خطئ
أخفيتم	خفي	أخفى	أخفى
أخفي	خفي	أخفى	أخفى
أخفيها	خفي	أخفى	أخفى
أخلد	خلد	أخلد	أخلد
أخلده	خلد	أخلد	أخلد
أخلصناهم	خلص	أخلص	أخلص
أخلفنا	خلف	أخلف	أخلف
اخلفني	خلف	خلف	خلف
أخلفوا	خلف	أخلف	أخلف
أخلق	خلق	خلق	خلق
أخنه	خون	خان	خان
أخواتكم	ءخو	أخوات	أخوات
أخواتهن	ءخو	أخوات	أخوات
أخوالكم	خول	أخوال	أخوال
إخوان	ءخو	إخوان	إخوان
إخوانا	ءخو	إخوان	إخوان
إخوانكم	ءخو	إخوان	إخوان
إخوانهم	ءخو	إخوان	إخوان
إخوانهن	ءخو	إخوان	إخوان
إخوة	ءخو	إخوة	إخوة
إخوتك	ءخو	إخوة	إخوة
إخوتي	ءخو	إخوة	إخوة
أخوك		أخو	أخو
أخوهم		أخو	أخو
أخويكم	ءخو	أخ	أخ
أخيه	وخي	وخى	وخى
أخي	وخي;ءخو	وخى;أخي;أخ	وخى;أخي;أخ
إدا	ءدد	إد	إد
ادارك	درك	ادارك	ادارك
اداركوا	درك	ادارك	ادارك
أدباركم	دبر	أدبار	أدبار
أدبارها	دبر	أدبار	أدبار
أدبارهم	دبر	أدبار	أدبار
أدبر	دبر	أدبر;دبر	أدبر;دبر
ادخلا	دخل	دخل	دخل
ادخل	دخل	دخل	دخل
أدخلني	دخل	أدخل	أدخل
أدخلوا	دخل	أدخل	أدخل
ادخلوا	دخل	دخل	دخل
ادخلوها	دخل	دخل	دخل
ادخلي	دخل	دخل	دخل
أدراك	دري	أدرى	أدرى
أدراكم	دري	أدرى	أدرى
أدر	دري	أدرى;درى	أدرى;درى
أدركه	درك	أدرك	أدرك
أدري	دري	أدرى;درى	أدرى;درى
إدريس	درس	إدريس	إدريس
ادع	دعو	دعا	دعا
ادعهن	دعو	دعا	دعا
ادعوا	دعو	دعا	دعا
أدعوتموهم	دعو	دعا	دعا
أدعو	دعو	دعا	دعا
أدعوكم	دعو	دعا	دعا
ادعوني	دعو	دعا	دعا
ادعوهم	دعو	دعا	دعا
أدعياءكم	دعو	دعي	دعي
أدعيائهم	دعو	دعي	دعي
ادفع	دفع	دفع	دفع
ادفعوا	دفع	دفع	دفع
أدلك	دلل	دل	دل
أدلكم	دلل	دل	دل
آدم	ءادم	آدم	آدم
أدنى	دنو	أدنى	أدنى
أدهى	دهي	أدهى;دهى	أدهى;دهى
أدوا	ءدد;ءدي	أدى;أد	أدى;أد
إذا		إذا	إذا
إذ		إذ	إذ
إذ	إذ	إذ	إذ
أذاعوا	ذيع	أذاع;ذاع	أذاع;ذاع
أذاقهم	ذوق	أذاق;ذاق	أذاق;ذاق
آذان	ءذن	آذان	آذان
آذاننا	ءذن	آذان	آذان
آذانهم	ءذن	آذان	آذان
أذاهم	ءذي	أذى	أذى
أذبحك	ذبح	ذبح	ذبح
أذقنا	ذوق	أذاق	أذاق
أذقناه	ذوق	أذاق	أذاق
اذكر	ذكر	ذكر	ذكر
أذكركم	ذكر	ذكر	ذكر
اذكرني	ذكر	ذكر	ذكر
أذكره	ذكر	ذكر	ذكر
اذكروا	ذكر	ذكر	ذكر
أذلة	ذلل	أذلة;ذل	أذلة;ذل
أذلك		ذلك	ذلك
آذن	ءذن	آذن	آذن
أذن	ءذن	أذن	أذن
آذناك	ءذن	آذن	آذن
أذنت	ذين;ءذن	ذان;أذن	ذان;أذن
آذنتكم	ءذن	آذن	آذن
إذنه	ءذن	إذن	إذن
أذنيه	ءذن	أذن	أذن
اذهبا	ذهب	ذهب	ذهب
أذهبتم	ذهب	أذهب	أذهب
أذهب	ذهب	أذهب;ذهب	أذهب;ذهب
اذهب	ذهب	ذهب	ذهب
اذهبوا	ذهب	ذهب	ذهب
آذوا	ءذي	آذى	آذى
أذى	ءذي	أذى	أذى
آذيتمونا	ءذي	آذى	آذى
أرادا	رود	راد;أراد	راد;أراد
أراد	رود	راد;أراد	راد;أراد
أرادني	رود	راد;أراد	راد;أراد
أرادوا	رود	راد;أراد	راد;أراد
أراذلنا	رذل	راذل;أراذل	راذل;أراذل
أراغب	رغب	راغب	راغب
أراك	ءراك;ءرو;رءي	أراك;راءى;أرا;رأى	أراك;راءى;أرا;رأى
أراكم	ءرو;رءي	راءى;أرا;رأى	راءى;أرا;رأى
أراكهم	رءي	أرى	أرى
أراني	ءرو;رءي	راءى;أرا;رأى	راءى;أرا;رأى
أرأيت	رءي	رأى	رأى
أرأيتك	رءي	رأى	رأى
أرأيتكم	رءي	رأى	رأى
أرأيتم	رءي	رأى	رأى
أربابا	ربب	أرباب	أرباب
أربعة	ربع	أربع;أربعة	أربع;أربعة
أربع	ربع	أربعة	أربعة
أربع	ربع	ربع;أربع	ربع;أربع
أربعين	ربع	أربعون	أربعون
أربى	ربو	أربى	أربى
ارتابوا	ريب	ارتاب	ارتاب
ارتبتم	ريب	ارتاب	ارتاب
ارتدوا	ردد	ارتد	ارتد
ارتضى	رضي	ارتضى	ارتضى
أرجائها	رجو	أرجاء	أرجاء
أرجع	رجع	رجع	رجع
ارجع	رجع	رجع	رجع
ارجعوا	رجع	رجع	رجع
ارجعون	رجع	رجع	رجع
ارجعي	رجع	رجع	رجع
أرجل	رجل	أرجل	أرجل
أرجلكم	رجل	أرجل	أرجل
أرجلهم	رجل	رجل;أرجل	رجل;أرجل
أرجه	رجو	أرجى	أرجى
أرحام	رحم	أرحام	أرحام
أرحامكم	رحم	أرحام	أرحام
أرحامهن	رحم	أرحام	أرحام
أرحم	رحم	رحم	رحم
ارحمهما	رحم	رحم	رحم
أرداكم	ردي	أردى	أردى
أردت	رود	أراد	أراد
أردتم	رود	أراد	أراد
أردنا	رود	أراد	أراد
أردناه	رود	أراد	أراد
أردن	رود	أراد	أراد
أرذل	رذل	أرذل;رذل	أرذل;رذل
أرساها	رسو	أرسى	أرسى
أرسلت	رسل	أرسل	أرسل
أرسلتم	رسل	أرسل	أرسل
أرسل	رسل	أرسل;رسل	أرسل;رسل
أرسلنا	رسل	أرسل	أرسل
أرسلناك	رسل	أرسل	أرسل
أرسلناه	رسل	أرسل	أرسل
أرسله	رسل	أرسل	أرسل
أرسلوا	رسل	أرسل	أرسل
أرض	ءرض;رضو;رضي	رضا;أرض;أرضى	رضا;أرض;أرضى
أرضا	ءرض	أرض	أرض
أرضعت	رضع	أرضع	أرضع
أرضعن	رضع	أرضع	أرضع
أرضعنكم	رضع	أرضع	أرضع
أرضعيه	رضع	أرضع	أرضع
أرضكم	ءرض;رضي	أرض;أرضى	أرض;أرضى
أرضنا	ءرض;رضي	أرض;أرضى	أرض;أرضى
أرضهم	ءرض;رضو	أرض;رضي	أرض;رضي
أرضي	ءرض;رضي	أرض;أرضى	أرض;أرضى
أرضيتم	رضو	رضي	رضي
اركب	ركب	ركب	ركب
اركبوا	ركب	ركب	ركب
أركسهم	ركس	أركس	أركس
أركسوا	ركس	أركس	أركس
اركض	ركض	ركض	ركض
اركعوا	ركع	ركع	ركع
إرم	ءرم	إرم	إرم
أرنا	ءرن	أرن	أرن
أرني	رءي	أرى	أرى
أرهطي	رهط	رهط	رهط
أروني	رءي	أرى	أرى
أريد	رود	أراد	أراد
أرى	رءي	راءى;رأى	راءى;رأى
أريكم	رءي	أرى	أرى
أريناك	رين	رين	رين
أريناه	رين	رين	رين
أزا	ءزز	أز	أز
أزاغ	زاغ;زوغ;زيغ	زاغ;أزاغ	زاغ;أزاغ
ازدادوا	زود;زيد	ازداد	ازداد
آزر	ءزر	آزر	آزر
أزري	ءزر;زري	أزر;أزرى;زرى	أزر;أزرى;زرى
أزفت	ءزف	أزف	أزف
أزكى	زكو	أزكى	أزكى
أزلفت	زلف	أزلف	أزلف
أزواجا	زوج	أزواج	أزواج
أزواج	زوج	أزواج	أزواج
أزواجك	زوج	أزواج	أزواج
أزواجكم	زوج	أزواج	أزواج
أزواجنا	زوج	أزواج	أزواج
أزواجه	زوج	أزواج	أزواج
أزواجهم	زوج	أزواج	أزواج
أزواجهن	زوج	أزواج	أزواج
أزيد	زيد	زاد	زاد
أساء	سوء	ساء;أساء	ساء;أساء
أساءوا	سوء	أساء	أساء
