pattern	singularPattern	type	nType	vType	isBrokenPlural	hasBrokenPlural	hasFem	subOf	examples	comment
pattern:faEAlilap	singularPattern:faEolAliy~	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:طلياني: طلاينة	comment:addedFromCorpus
pattern:faEAliyl	singularPattern:faE~uwl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:نبوت: نبابيت	comment:addedFromCorpus
pattern:faEAliyl	singularPattern:fuE~Al	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:دكان: دكاكين	comment:addedFromCorpus
pattern:faEAliy	singularPattern:fiEoliy~ap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:سحلية: سحالي	comment:addedFromCorpus
pattern:>afoEAE	singularPattern:fiE~	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:زر: أزرار	comment:addedFromCorpus
pattern:mafAEil	singularPattern:mafoEalap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:مكرمة: مكارم	comment:addedFromCorpus
pattern:fiEaE	singularPattern:fiE~ap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:عدة: عدد	comment:addedFromCorpus
pattern:faEAliy	singularPattern:fuEoliy	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:كبري: كباري	comment:addedFromCorpus
pattern:fiEaEap	singularPattern:fiE~	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:دب: دببة	comment:addedFromCorpus
pattern:mafA}il	singularPattern:mafiyl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:مديح: مدائح	comment:addedFromCorpus
pattern:faEAlil	singularPattern:faEolal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:بطرق: بطارق	comment:addedFromCorpus
pattern:|fAl	singularPattern:>fal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:أجل: آجال	comment:addedFromCorpus
pattern:ma|Eil	singularPattern:ma>oEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:مأثم: مآثم	comment:addedFromCorpus
pattern:fuEAap	singularPattern:fAEiy	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:داعي‫:‬ دعاة	comment:addedFromCorpus
pattern:>afAEiyl	singularPattern:>ufoEuwlap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:أرجوزة‫:‬ أراجيز	comment:addedFromCorpus
pattern:>afAEil	singularPattern:>afoEil	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:أستك‫:‬ أساتك	comment:addedFromCorpus
pattern:faEAyA	singularPattern:faEiy~ap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:ضحية‫:‬ ضحايا	comment:addedFromCorpus
pattern:faEAlil	singularPattern:fiEolal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:درهم‫:‬ دراهم	comment:addedFromCorpus
pattern:>afoEAl	singularPattern:fiyEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:فيلم‫:‬ أفلام	comment:addedFromCorpus
pattern:fuEal	singularPattern:faEolap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:شنطة‫:‬ شنط	comment:addedFromCorpus
pattern:>afAEil	singularPattern:>afoEal~	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:أردب‫:‬ أرادب	comment:addedFromCorpus
pattern:faEA}il	singularPattern:faEuwlap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:فلوكة‫:‬ فلائك	comment:addedFromCorpus
pattern:faEAlil	singularPattern:faEolalap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:بردعة‫:‬ برادع	comment:addedFromCorpus
pattern:>afAEiyl	singularPattern:faEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:قول‫:‬ أقاويل	comment:addedFromCorpus
pattern:faEAlilap	singularPattern:fiEolAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:عملاق‫:‬ عمالقة	comment:addedFromCorpus
pattern:faEAliyl	singularPattern:faEolAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:خلخال‫:‬ خلاخيل	comment:addedFromCorpus
pattern:fuE~Al	singularPattern:faEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:حكم‫:‬ حكام	comment:addedFromCorpus
pattern:faEAyil	singularPattern:faEiyl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:فصيل‫:‬ فصايل	comment:unspec
pattern:>afoEAl	singularPattern:faEiyl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:مشيج‫:‬ أمشاج	comment:unspec
pattern:>afoEAE	singularPattern:fuE~	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:طن‫:‬ أطنان	comment:unspec
pattern:faEAlil	singularPattern:faEolAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:وسواس‫:‬ وساوس	comment:unspec
pattern:mafAEil	singularPattern:mafAlap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:مخافة‫:‬ مخاوف	comment:unspec
pattern:|fA'	singularPattern:faEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:رأي‫:‬ آراء	comment:unspec
pattern:fawAEil	singularPattern:fiyEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:ميناء‫:‬ مواني	comment:unspec
pattern:mafAEil	singularPattern:mifoEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:مصفاة‫:‬ مصافي	comment:unspec
pattern:tafAEiyl	singularPattern:tafoEiylap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:ترتيلة‫:‬ تراتيل	comment:unspec
pattern:mafAEi	singularPattern:mafoEaY	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:معنى‫:‬ معان	comment:unspec
pattern:tafAEil	singularPattern:tafoEilap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:تجربة‫:‬ تجارب	comment:unspec
pattern:faEAlilap	singularPattern:fiEolawol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:فرعون‫:‬ فراعنة	comment:unspec
pattern:faEAliyl	singularPattern:fuEoliyl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:كرنيش‫:‬ كرانيش	comment:unspec
pattern:>afoEilap	singularPattern:faE~Al	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:فدان‫:‬ أفدنة	comment:unspec
pattern:faEAliyl	singularPattern:fiE~iyl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:تنين‫:‬ تنانين	comment:unspec
pattern:ma|Eil	singularPattern:mifoEalap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:مئذنة: مآذن	comment:unspec
pattern:|EAl	singularPattern:faEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:أمل: آمال	comment:unspec
pattern:fuEuwE	singularPattern:faE~ap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:سدة: سدود	comment:unspec
pattern:filAl	singularPattern:faE~ap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:سلة: سلال	comment:unspec
pattern:faEAliyl	singularPattern:fiE~Alap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:صنارة: صنانير	comment:unspec
pattern:faEAliyl	singularPattern:fuEolul	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:زرزر: زرارير	comment:unspec
pattern:faEAlilap	singularPattern:fuEolAn	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:قرصان: قراصنة	comment:unspec
pattern:ma|lil	singularPattern:mafoEalap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:مأثرة: مآثر	comment:unspec
pattern:>afAEil	singularPattern:|Eilap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:آصرة: أواصر	comment:unspec
pattern:fuEolAn	singularPattern:>afoEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:أجرب: جربان	comment:unspec
pattern:faEAliy	singularPattern:faEoliy~ap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:قصرية: قصاري	comment:unspec
pattern:fiyEAn	singularPattern:faEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:ثور: ثيران	comment:unspec
pattern:fiEal	singularPattern:faEolap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:شلتة: شلت	comment:unspec
pattern:fiEal	singularPattern:faE~ap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:حلة: حلل	comment:unspec
pattern:ma|Eil	singularPattern:mafoEulap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:مأدبة: مآدب	comment:unspec
pattern:mafAEil	singularPattern:mafoEulap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:مكرمة: مكارم	comment:unspec
pattern:>afoEiyap	singularPattern:fAEiy	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:وادي: أودية	comment:unspec
pattern:>afiE~ap	singularPattern:fuEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:زقاق: أزقة	comment:unspec
pattern:fawAEiyl	singularPattern:fAEiyl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:تاريخ: تواريخ	comment:unspec
pattern:ma|Eil	singularPattern:mafoEil	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:مأزق: مآزق	comment:unspec
pattern:faEA}il	singularPattern:fuEayolap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:غويشة: غوائش	comment:unspec
pattern:>af~Al	singularPattern:faEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:يوم: أيام	comment:unspec
pattern:|Eilap	singularPattern:faEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:أوان: آونة	comment:unspec
pattern:fiEolAn	singularPattern:faEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:جدي: جديان	comment:unspec
pattern:fawAEil	singularPattern:fuwEiylap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples:بوليصة: بوالص	comment:unspec

pattern:faEol	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:>afoEAl	singularPattern:faEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: وهم: أوهام، وقت: أوقات، وقف: أوقاف، ثوب: أثواب، حرف: حروف، نفس: نفوس، درس: دروس، صحب: أصحاب، زند: أزناد، فرخ: أفراخ، نهر: أنهار، حمل: أحمال، حبر: أحبار، شكل: أشكال، سمع: أسماع، لفظ: ألفاظ، لحظ: ألحاظ، وصف: أوصاف	comment:unspec
pattern:>afoEul	singularPattern:faEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: بحر: أبحر، نهر: أنهر، نجم: أنجم، عين: أعين، نفس: أنفس، دمع: أدمع،سقف: أسقف، سهم: أسهم	comment:unspec
pattern:fuEolAn	singularPattern:faEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: ظهر: ظهران، ركب: ركبان	comment:unspec
pattern:fuEuwl	singularPattern:faEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: أنف: أنوف، نجم: نجوم، سيف: سيوف، سهل: سهول، ثغر: ثغور، مهر: مهور، درب: دروب، قلب: قلوب، حرب: حروب، دهر: دهور، ظهر: ظهور، قصر: قصور	comment:unspec
pattern:fiEAl	singularPattern:faEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: كلب: كلاب، فرخ: فراخ، عظْم: عِظام، كعب: كعاب، صعب: صعاب، ثوب: ثياب، سهم: سهام	comment:unspec
pattern:>afoEiyap	singularPattern:faEol	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: قبو: أقبية	comment:unspec
pattern:fAl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:faEol	examples:unspec	comment:unspec
pattern:>afoEAl	singularPattern:fAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: باب: أبواب، ناب: أنياب	comment:unspec
pattern:fiylAn	singularPattern:fAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:fiEolAn	examples: جار: جيران، نار: نيران، قاع: قيعان، تاج: تيجان	comment:unspec
pattern:fuEAl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:>afoEilap	singularPattern:fuEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: فؤاد: أفئدة، سؤال: أسئلة	comment:unspec
pattern:fiEolAn	singularPattern:fuEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: غلام: غِلمان، عُقاب: عِقبان، شجاع: شجعان، غراب: غِربان	comment:unspec
pattern:fawAEil	singularPattern:fuEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: صباع: صوابع	comment:unspec
pattern:faEuwl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:>afoEilap	singularPattern:faEuwl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: عمود: أعمدة	comment:unspec
pattern:fuEul	singularPattern:faEuwl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: رسول: رسل	comment:unspec
pattern:faEA}il	singularPattern:faEuwl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: عجوز: عجائز	comment:unspec
